vgp_name,vgp_name_corrected,vgp_english_name,vgp_lineage,vgp_sheet,vgp_accession,clade,placement_tier,tree_tip,credit_genome_to_tip,evidence
Bubalus bubalis,Bubalus bubalis,water buffalo,Mammals,Phase1+,GCA_019923935.1,mammals,domestic_form_of_tip,Bubalus arnee,False,MDD: domestic form of B. arnee; has been suggested to represent two species based on molecular data (buablis for River Buffalo and kerabau/carabanensis for Swamp Buf
Equus asinus,Equus asinus,donkey,Mammals,Phase1+,GCA_041296235.2,mammals,domestic_form_of_tip,Equus africanus,False,MDD: domestic form of E. africanus
Ambystoma mexicanum,Ambystoma mexicanum,axolotl,Amphibians,Phase1+,GCA_040938575.1,amphibians,exact,Ambystoma mexicanum,True,VGP name identical to tip
Ambystoma tigrinum,Ambystoma tigrinum,tiger salamander,Amphibians,Phase1+,GCA_061212105.1,amphibians,exact,Ambystoma tigrinum,True,VGP name identical to tip
Anomaloglossus baeobatrachus,Anomaloglossus baeobatrachus,Edward's Rocket Frog,Amphibians,Phase1+,GCA_048569485.1,amphibians,exact,Anomaloglossus baeobatrachus,True,VGP name identical to tip
Ascaphus truei,Ascaphus truei,coastal tailed frog,Amphibians,Phase1+,GCA_040206685.1,amphibians,exact,Ascaphus truei,True,VGP name identical to tip
Bombina bombina,Bombina bombina,European fire-bellied toad,Amphibians,Phase1+,GCA_027579735.1,amphibians,exact,Bombina bombina,True,VGP name identical to tip
Bombina variegata,Bombina variegata,,,Families,GCA_964205295.1,amphibians,exact,Bombina variegata,True,VGP name identical to tip
Bufo bufo,Bufo bufo,,,Families,GCA_905171765.1,amphibians,exact,Bufo bufo,True,VGP name identical to tip
Cryptobranchus alleganiensis,Cryptobranchus alleganiensis,hellbender salamander,Amphibians,Phase1+,GCA_060551615.1,amphibians,exact,Cryptobranchus alleganiensis,True,VGP name identical to tip
Dendrobates auratus,Dendrobates auratus,green-and-black poison dart frog,Amphibians,Phase1+,,amphibians,exact,Dendrobates auratus,False,VGP name identical to tip
Dendropsophus ebraccatus,Dendropsophus ebraccatus,,,Families,GCA_027789765.1,amphibians,exact,Dendropsophus ebraccatus,True,VGP name identical to tip
Discoglossus pictus,Discoglossus pictus,painted frog,Amphibians,Phase1+,GCA_027410445.1,amphibians,exact,Discoglossus pictus,True,VGP name identical to tip
Eleutherodactylus coqui,Eleutherodactylus coqui,,,Families,GCA_035609145.1,amphibians,exact,Eleutherodactylus coqui,True,VGP name identical to tip
Eleutherodactylus marnockii,Eleutherodactylus marnockii,cliff chirping frog,Amphibians,Phase1+,GCA_055470875.1,amphibians,exact,Eleutherodactylus marnockii,True,VGP name identical to tip
Engystomops pustulosus,Engystomops pustulosus,tungara frog,Amphibians,Phase1+,GCA_040894005.1,amphibians,exact,Engystomops pustulosus,True,VGP name identical to tip
Epidalea calamita,Epidalea calamita,natterjack toad,Amphibians,Phase1+,GCA_978041865.1,amphibians,exact,Epidalea calamita,True,VGP name identical to tip
Fejervarya limnocharis,Fejervarya limnocharis,Asian grass frog,Amphibians,Phase1+,GCA_054083975.1,amphibians,exact,Fejervarya limnocharis,True,VGP name identical to tip
Gastrophryne carolinensis,Gastrophryne carolinensis,Eastern narrow-mouthed toad,Amphibians,Phase1+,GCA_027917425.1,amphibians,exact,Gastrophryne carolinensis,True,VGP name identical to tip
Geotrypetes seraphini,Geotrypetes seraphini,,,Families,GCA_902459505.2,amphibians,exact,Geotrypetes seraphini,True,VGP name identical to tip
Hyla sarda,Hyla sarda,,,Families,GCA_029499605.1,amphibians,exact,Hyla sarda,True,VGP name identical to tip
Hyperolius riggenbachi,Hyperolius riggenbachi,,,Families,GCA_040937935.1,amphibians,exact,Hyperolius riggenbachi,True,VGP name identical to tip
Leptobrachium boringii,Leptobrachium boringii,Emei moustache toad,Amphibians,Phase1+,GCA_054131545.1,amphibians,exact,Leptobrachium boringii,True,VGP name identical to tip
Leptodactylus fuscus,Leptodactylus fuscus,,,Families,GCA_031893055.1,amphibians,exact,Leptodactylus fuscus,True,VGP name identical to tip
Lissotriton helveticus,Lissotriton helveticus,,,Families,GCA_964261635.1,amphibians,exact,Lissotriton helveticus,True,VGP name identical to tip
Lissotriton vulgaris,Lissotriton vulgaris,,,Families,GCA_964263255.1,amphibians,exact,Lissotriton vulgaris,True,VGP name identical to tip
Mantella aurantiaca,Mantella aurantiaca,,,Families,GCA_048565345.1,amphibians,exact,Mantella aurantiaca,True,VGP name identical to tip
Megophrys montana,Megophrys montana,Javan horned frog,Amphibians,Phase1+,GCA_060175755.1,amphibians,exact,Megophrys montana,True,VGP name identical to tip
Microcaecilia unicolor,Microcaecilia unicolor,tiny cayenne caecilian,Amphibians,Phase1+,GCA_901765095.2,amphibians,exact,Microcaecilia unicolor,True,VGP name identical to tip
Mixophyes fleayi,Mixophyes fleayi,,,Families,GCA_038048845.1,amphibians,exact,Mixophyes fleayi,True,VGP name identical to tip
Necturus punctatus,Necturus punctatus,dwarf waterdog,Amphibians,Phase1+,,amphibians,exact,Necturus punctatus,False,VGP name identical to tip
Parvimolge townsendi,Parvimolge townsendi,Townsend's dwarf salamander,Amphibians,Phase1+,,amphibians,exact,Parvimolge townsendi,False,VGP name identical to tip
Pelobates fuscus,Pelobates fuscus,,,Families,GCA_036172605.1,amphibians,exact,Pelobates fuscus,True,VGP name identical to tip
Pelodytes ibericus,Pelodytes ibericus,,,Families,GCA_036172795.1,amphibians,exact,Pelodytes ibericus,True,VGP name identical to tip
Pelophylax lessonae,Pelophylax lessonae,,,Families,GCA_965119305.1,amphibians,exact,Pelophylax lessonae,True,VGP name identical to tip
Pleurodeles waltl,Pleurodeles waltl,,,Families,GCA_026652325.1,amphibians,exact,Pleurodeles waltl,True,VGP name identical to tip
Pseudacris triseriata,Pseudacris triseriata,Western chorus frog,Amphibians,Phase1+,GCA_053478255.2,amphibians,exact,Pseudacris triseriata,True,VGP name identical to tip
Pseudophryne corroboree,Pseudophryne corroboree,Southern corroboree frog,Amphibians,Phase1+,GCA_028390025.1,amphibians,exact,Pseudophryne corroboree,True,VGP name identical to tip
Rana temporaria,Rana temporaria,,,Families,GCA_905171775.1,amphibians,exact,Rana temporaria,True,VGP name identical to tip
Ranitomeya imitator,Ranitomeya imitator,mimic poison frog,Amphibians,Phase1+,GCA_032444005.1,amphibians,exact,Ranitomeya imitator,True,VGP name identical to tip
Ranitomeya variabilis,Ranitomeya variabilis,Zimmermann's poison frog,Amphibians,Phase1+,GCA_051348905.1,amphibians,exact,Ranitomeya variabilis,True,VGP name identical to tip
Rhinatrema bivittatum,Rhinatrema bivittatum,,,Families,GCA_901001135.2,amphibians,exact,Rhinatrema bivittatum,True,VGP name identical to tip
Rhinoderma darwinii,Rhinoderma darwinii,Darwin's frog,Amphibians,Phase1+,GCA_050947455.1,amphibians,exact,Rhinoderma darwinii,True,VGP name identical to tip
Rhinophrynus dorsalis,Rhinophrynus dorsalis,Mexican burrowing toad,Amphibians,Phase1+,GCA_037306005.1,amphibians,exact,Rhinophrynus dorsalis,True,VGP name identical to tip
Scaphiopus couchii,Scaphiopus couchii,Couch's spadefoot toad,Amphibians,Phase1+,GCA_054954225.1,amphibians,exact,Scaphiopus couchii,True,VGP name identical to tip
Scutiger boulengeri,Scutiger boulengeri,,,Families,,amphibians,exact,Scutiger boulengeri,False,VGP name identical to tip
Siren intermedia,Siren intermedia,lesser siren,Amphibians,Phase1+,,amphibians,exact,Siren intermedia,False,VGP name identical to tip
Sooglossus thomasseti,Sooglossus thomasseti,Thomasset's Seychelles frog,Amphibians,Phase1+,,amphibians,exact,Sooglossus thomasseti,False,VGP name identical to tip
Spea bombifrons,Spea bombifrons,plain spadefoot toad,Amphibians,Phase1+,GCA_027358695.2,amphibians,exact,Spea bombifrons,True,VGP name identical to tip
Spea multiplicata,Spea multiplicata,Mexican spadefoot toad,Amphibians,Phase1+,GCA_054668525.1,amphibians,exact,Spea multiplicata,True,VGP name identical to tip
Telmatobufo venustus,Telmatobufo venustus,Chile Mountains false toad,Amphibians,Phase1+,GCA_060712405.1,amphibians,exact,Telmatobufo venustus,True,VGP name identical to tip
Thorius spilogaster,Thorius spilogaster,spotted minute salamander,Amphibians,Phase1+,GCA_060511645.1,amphibians,exact,Thorius spilogaster,True,VGP name identical to tip
Triturus cristatus,Triturus cristatus,warty newt,Amphibians,Phase1+,GCA_964204655.1,amphibians,exact,Triturus cristatus,True,VGP name identical to tip
Xenopus petersii,Xenopus petersii,,,Families,GCA_038501925.1,amphibians,exact,Xenopus petersii,True,VGP name identical to tip
Acanthisitta chloris,Acanthisitta chloris,,,Families,GCA_016904835.1,birds,exact,Acanthisitta chloris,True,VGP name identical to tip
Accipiter gentilis,Accipiter gentilis,,,Families,GCA_929443795.1,birds,exact,Accipiter gentilis,True,VGP name identical to tip
Accipiter nisus,Accipiter nisus,Eurasian sparrowhawk,Birds,Phase1+,GCA_978019825.1,birds,exact,Accipiter nisus,True,VGP name identical to tip
Acridotheres tristis,Acridotheres tristis,,,Families,GCA_027559615.1,birds,exact,Acridotheres tristis,True,VGP name identical to tip
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,sedge warbler,Birds,Phase1+,GCA_987194645.1,birds,exact,Acrocephalus schoenobaenus,True,VGP name identical to tip
Aechmophorus clarkii,Aechmophorus clarkii,Clark’s grebe,Birds,Phase1+,GCA_054644155.1,birds,exact,Aechmophorus clarkii,True,VGP name identical to tip
Aegithalos caudatus,Aegithalos caudatus,Northern long-tailed tit,Birds,Phase1+,GCA_977066295.1,birds,exact,Aegithalos caudatus,True,VGP name identical to tip
Aegotheles albertisi,Aegotheles albertisi,mountain owlet-nightjar,Birds,Phase1+,GCA_039906565.1,birds,exact,Aegotheles albertisi,True,VGP name identical to tip
Agelaius phoeniceus,Agelaius phoeniceus,red-winged blackbird,Birds,Phase1+,GCA_051311805.1,birds,exact,Agelaius phoeniceus,True,VGP name identical to tip
Alauda arvensis,Alauda arvensis,Eurasian skylark,Birds,Phase1+,GCA_987194035.1,birds,exact,Alauda arvensis,True,VGP name identical to tip
Alca torda,Alca torda,razorbill,Birds,Phase1+,GCA_008658365.1,birds,exact,Alca torda,True,VGP name identical to tip
Alcedo atthis,Alcedo atthis,common kingfisher,Birds,Phase1+,GCA_987195655.1,birds,exact,Alcedo atthis,True,VGP name identical to tip
Alectoris rufa,Alectoris rufa,red-legged partridge,Birds,Phase1+,GCA_987193675.1,birds,exact,Alectoris rufa,True,VGP name identical to tip
Alopochen aegyptiaca,Alopochen aegyptiaca,,,Families,GCA_965278175.1,birds,exact,Alopochen aegyptiaca,True,VGP name identical to tip
Amazona ochrocephala,Amazona ochrocephala,,,Families,GCA_039720435.1,birds,exact,Amazona ochrocephala,True,VGP name identical to tip
Ammodramus caudacutus,Ammodramus caudacutus,saltmarsh sparrow,Birds,Phase1+,GCA_027887145.1,birds,exact,Ammodramus caudacutus,True,VGP name identical to tip
Anas acuta,Anas acuta,northern pintail,Birds,Phase1+,GCA_963932015.1,birds,exact,Anas acuta,True,VGP name identical to tip
Anas platyrhynchos,Anas platyrhynchos,mallard,Birds,Phase1+,GCA_964188345.1,birds,exact,Anas platyrhynchos,True,VGP name identical to tip
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,hyacinth macaw,Birds,Phase1+,,birds,exact,Anodorhynchus hyacinthinus,False,VGP name identical to tip
Anser albifrons,Anser albifrons,White-fronted goose,Birds,Phase1+,GCA_976913865.1,birds,exact,Anser albifrons,True,VGP name identical to tip
Anser anser,Anser anser,,,Families,GCA_964211835.1,birds,exact,Anser anser,True,VGP name identical to tip
Anser brachyrhynchus,Anser brachyrhynchus,pink-footed goose,Birds,Phase1+,GCA_964034855.1,birds,exact,Anser brachyrhynchus,True,VGP name identical to tip
Anser cygnoides,Anser cygnoides,swan goose,Birds,Phase1+,GCA_040182565.1,birds,exact,Anser cygnoides,True,VGP name identical to tip
