EDGErank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct,high_ED,dd_watch_rank
53,Hylomys_megalotis,Eulipotyphla,Erinaceidae,Otohylomys,DD,5.61093594557428,15.6151575265648,32.6045578000381,4.7630964563202,0.166341651089203,0.465905675785966,32.90371245971,0,0.0,1000,synonym:MSW3,Otohylomys_megalotis,0.0,1,1
106,Nothrotheriops_shastensis,,,,DD,3.77870746422344,11.4094806318074,21.8373654466875,5.36844771883692,0.166822827201569,0.552536989291436,22.26804357659,0,0.0,1000,unmatched,,,1,2
122,Mylodon_darwinii,,,,DD,3.4663190256083,9.92008364215604,19.3408628900644,6.00510706215459,0.166822827201569,0.552438559218972,19.601792449094,0,0.0,1000,unmatched,,,1,3
129,Megaladapis_edwardsi,,,,DD,3.35097786070835,9.95518703061891,18.0652737768476,3.26771355264057,0.178735888288564,0.554784807447076,18.35219692447,0,0.0,1000,unmatched,,,1,4
147,Chlamyphorus_truncatus,Cingulata,Chlamyphoridae,Chlamyphorus,DD,3.04751291391503,7.9314270726263,15.8705707382179,7.50370936278843,0.168121849204643,0.558810575821362,12.336431922646,0,0.0,1000,direct,Chlamyphorus_truncatus,0.0,1,5
138,Calyptophractus_retusus,Cingulata,Chlamyphoridae,Calyptophractus,DD,3.12609648180763,8.10635273638478,15.703375685101,7.41232382644705,0.16799134920304,0.557624599455207,12.336431922646,0,0.0,1000,direct,Calyptophractus_retusus,0.0,1,6
164,Carterodon_sulcidens,Rodentia,Echimyidae,Carterodon,DD,2.71525504523833,8.59568321568067,15.0773702249099,3.62241326379483,0.177380171543981,0.563095168794226,9.2539808146026,0,0.0,1000,direct,Carterodon_sulcidens,0.0,1,7
194,Dendrogale_melanura,Scandentia,Tupaiidae,Dendrogale,DD,2.50525947283759,7.08083817123905,14.001389425,4.44917492,0.168804327640178,0.578809553580136,14.245704840667,0,0.0,1000,direct,Dendrogale_melanura,0.0,1,8
231,Marmosa_rubra,Didelphimorphia,Didelphidae,Marmosa,DD,2.10917766911335,5.78967765680251,13.3491071529273,3.96403207727707,0.188955170440201,0.661013412375342,12.0401007719692,0,0.0,1000,direct,Marmosa_rubra,0.0,1,9
232,Coelodonta_antiquitatis,,,,DD,2.10730000197202,5.52811426016734,11.6649246142606,2.06412565595934,0.168560701239223,0.486386403076801,6.403843556243,0,0.0,1000,unmatched,,,1,10
273,Marmosa_andersoni,Didelphimorphia,Didelphidae,Marmosa,DD,1.8500408819798,5.5790427161985,11.1893663132767,3.3141112855048,0.186454106274433,0.647761259448176,10.2489871549198,0,0.0,1000,direct,Marmosa_andersoni,0.0,1,11
258,Cardiocranius_paradoxus,Rodentia,Dipodidae,Cardiocranius,DD,1.92080693514748,5.43685780275087,10.7845557816799,3.02181300279659,0.181883451503904,0.55363493472003,10.367268779178,0,0.0,1000,direct,Cardiocranius_paradoxus,0.0,1,12
363,Gracilinanus_emiliae,Didelphimorphia,Didelphidae,Gracilinanus,DD,1.46970246438912,3.75656429025908,10.5092640897002,7.91584527934248,0.187104011110264,0.675198603345178,8.73038889952894,0,0.0,1000,direct,Gracilinanus_emiliae,0.0,1,13
280,Mammut_americanum,,,,DD,1.82639520798716,4.94280641517991,10.209051094671,4.21313959349679,0.165146279109614,0.549682817055433,10.288292382293,0,0.0,1000,unmatched,,,1,14
259,Phataginus_tetradactyla,,,,DD,1.92020024887401,5.2415807739148,9.82681767204346,4.45608702202909,0.180474730371037,0.555735709524702,3.4252270462062,0,0.0,1000,unmatched,,,1,15
321,Uropsilus_investigator,Eulipotyphla,Talpidae,Uropsilus,DD,1.6389346964335,4.69555565644318,9.01086926749722,2.27014710111028,0.16630085480796,0.546912865797509,9.161910307844,0,0.0,1000,direct,Uropsilus_investigator,0.0,1,16
