tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Zaglossus_bartoni,Zaglossus_bartoni,direct,Monotremata,Tachyglossidae,Zaglossus,VU,0.0
Zaglossus_bruijnii,Zaglossus_bruijnii,direct,Monotremata,Tachyglossidae,Zaglossus,CR,0.0
Zaglossus_attenboroughi,Zaglossus_attenboroughi,direct,Monotremata,Tachyglossidae,Zaglossus,CR,0.0
Tachyglossus_aculeatus,Tachyglossus_aculeatus,direct,Monotremata,Tachyglossidae,Tachyglossus,LC,0.0
Ornithorhynchus_anatinus,Ornithorhynchus_anatinus,direct,Monotremata,Ornithorhynchidae,Ornithorhynchus,NT,0.0
Hydrodamalis_gigas,Hydrodamalis_gigas,direct,Sirenia,Dugongidae,Hydrodamalis,EX,1.0
Trichechus_manatus,Trichechus_manatus,direct,Sirenia,Trichechidae,Trichechus,VU,0.0
Trichechus_senegalensis,Trichechus_senegalensis,direct,Sirenia,Trichechidae,Trichechus,VU,0.0
Trichechus_inunguis,Trichechus_inunguis,direct,Sirenia,Trichechidae,Trichechus,VU,0.0
Dugong_dugon,Dugong_dugon,direct,Sirenia,Dugongidae,Dugong,VU,0.0
Mammut_americanum,,unmatched,,,,,
Loxodonta_africana,Loxodonta_africana,direct,Proboscidea,Elephantidae,Loxodonta,EN,0.0
Mammuthus_primigenius,,unmatched,,,,,
Mammuthus_columbi,,unmatched,,,,,
Elephas_maximus,Elephas_maximus,direct,Proboscidea,Elephantidae,Elephas,EN,0.0
Elephas_cypriotes,,unmatched,,,,,
Elephas_antiquus,,unmatched,,,,,
Procavia_capensis,Procavia_capensis,direct,Hyracoidea,Procaviidae,Procavia,LC,0.0
Heterohyrax_brucei,Heterohyrax_brucei,direct,Hyracoidea,Procaviidae,Heterohyrax,LC,0.0
Dendrohyrax_dorsalis,Dendrohyrax_dorsalis,direct,Hyracoidea,Procaviidae,Dendrohyrax,LC,0.0
Dendrohyrax_validus,Dendrohyrax_validus,direct,Hyracoidea,Procaviidae,Dendrohyrax,NT,0.0
Dendrohyrax_arboreus,Dendrohyrax_arboreus,direct,Hyracoidea,Procaviidae,Dendrohyrax,LC,0.0
Orycteropus_afer,Orycteropus_afer,direct,Tubulidentata,Orycteropodidae,Orycteropus,LC,0.0
Rhynchocyon_petersi,Rhynchocyon_petersi,direct,Macroscelidea,Macroscelididae,Rhynchocyon,LC,0.0
Rhynchocyon_chrysopygus,Rhynchocyon_chrysopygus,direct,Macroscelidea,Macroscelididae,Rhynchocyon,EN,0.0
Rhynchocyon_cirnei,Rhynchocyon_cirnei,direct,Macroscelidea,Macroscelididae,Rhynchocyon,LC,0.0
