EDGErank,EDrank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct
1,23,Burramys_parvus,Diprotodontia,Burramyidae,Burramys,CR,24.4288352768582,4.26718653068784,25.8333946417601,4.4678316146383,0.969017552722647,0.0652740733396005,25.89502436858,1,1.0,1000,direct,Burramys_parvus,0.0
2,5,Daubentonia_madagascariensis,Primates,Daubentoniidae,Daubentonia,EN,20.0411644184954,11.4326095717708,40.23966447,7.9875085525,0.485787927334518,0.286754805576868,41.0324468814,1,1.0,1000,direct,Daubentonia_madagascariensis,0.0
3,41,Gymnobelideus_leadbeateri,Diprotodontia,Petauridae,Gymnobelideus,CR,19.5534365482907,3.32273151644772,20.5618230155105,3.18905435670835,0.967575510453126,0.0662981227538091,20.67481468046,1,1.0,1000,direct,Gymnobelideus_leadbeateri,0.0
4,57,Thylacinus_cynocephalus,Dasyuromorphia,Thylacinidae,Thylacinus,EX,16.4867158664922,9.58941283111975,17.5472780558803,9.86910910422895,0.969155670035643,0.064877221946645,11.6944638247126,1,1.0,1000,direct,Thylacinus_cynocephalus,1.0
5,15,Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius,EN,14.9427440471831,8.69718257276751,31.418465855,4.95583162566982,0.477873992604072,0.267504895809732,18.4315649679916,1,1.0,1000,direct,Myrmecobius_fasciatus,0.0
6,74,Manis_culionensis,Pholidota,Manidae,Manis,CR,14.762869842737,6.93892834669313,15.5856917570112,7.15002042917572,0.970356921865497,0.0643093832084664,6.59108618365414,1,1.0,1000,direct,Manis_culionensis,0.0
7,77,Desmana_moschata,Eulipotyphla,Talpidae,Desmana,CR,14.3347338126028,4.56312341146115,15.1524298913282,4.68006525442127,0.968126321131184,0.0631341423864674,12.533966043835,1,1.0,1000,direct,Desmana_moschata,0.0
8,82,Manis_pentadactyla,Pholidota,Manidae,Manis,CR,14.2305190945144,6.63240784481634,14.9962479587076,7.10916194866603,0.970255103189162,0.0643691045698731,0.868426868798592,1,1.0,1000,direct,Manis_pentadactyla,0.0
9,83,Manis_javanica,Pholidota,Manidae,Manis,CR,14.1766755545633,6.62788639767391,14.970963113293,6.60861819597227,0.970255103189162,0.0643103644654012,0.853712047122,1,1.0,1000,direct,Manis_javanica,0.0
10,92,Hydrodamalis_gigas,Sirenia,Dugongidae,Hydrodamalis,EX,13.5226904480663,5.2452458696675,14.1559180874686,5.41284202909809,0.966911057167071,0.0652397377367309,14.548775709549,1,1.0,1000,direct,Hydrodamalis_gigas,1.0
11,114,Varecia_variegata,Primates,Lemuridae,Varecia,CR,12.0680147972203,2.80016900856675,12.6348710165972,2.68344045611888,0.970140448847516,0.0600388275090146,0.9384068616351,1,1.0,1000,direct,Varecia_variegata,0.0
12,115,Varecia_rubra,Primates,Lemuridae,Varecia,CR,12.0536721476995,2.77098000311766,12.6173093348197,2.66854049082393,0.970168698415343,0.0598034797959762,0.9384068616351,1,1.0,1000,direct,Varecia_rubra,0.0
13,125,Nesophontes_zamicrus,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.697758902624,9.24288984872096,12.2598325697117,9.59108859070434,0.971480630924533,0.0587008602226026,2.10158515641763,1,0.999,1000,direct,Nesophontes_zamicrus,1.0
14,129,Nesophontes_hypomicrus,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.646584183579,9.16853429960072,12.159104001134,9.62765497963281,0.972169861077079,0.0587085092776561,2.06843726299326,1,0.999,1000,direct,Nesophontes_hypomicrus,1.0
15,130,Nesophontes_major,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.6329312238063,9.15359894702807,12.1522270215467,9.52091622801568,0.971665168941719,0.0585878880043718,1.98866988744542,1,0.999,1000,direct,Nesophontes_major,1.0
16,127,Nesophontes_edithae,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.6198477449682,9.23859128714618,12.2015879482078,9.33692305396784,0.971901297954209,0.05876937100762,2.10880363085917,1,0.999,1000,direct,Nesophontes_edithae,1.0
17,131,Nesophontes_micrus,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.6063433444986,9.29274541801911,12.0586206646506,9.66067476552813,0.972057094636579,0.0586359677807056,2.0411130920168,1,0.999,1000,direct,Nesophontes_micrus,1.0
18,128,Nesophontes_paramicrus,Eulipotyphla,Nesophontidae,Nesophontes,EX,11.5907267530676,9.21776938634641,12.165445441141,9.8141209138029,0.972057094636579,0.0587085092776561,2.09919951152221,1,0.998,1000,direct,Nesophontes_paramicrus,1.0
19,135,Palaeopropithecus_ingens,Primates,Palaeopropithecidae,Palaeopropithecus,EX,11.3327497466917,3.02211867009093,11.9005888225414,3.10328735349456,0.970168698415343,0.0592863115158967,11.773176453362,1,1.0,1000,direct,Palaeopropithecus_ingens,1.0
20,26,Solisorex_pearsoni,Eulipotyphla,Soricidae,Solisorex,EN,11.2957921534854,7.42838271936586,24.83131725,5.693875665,0.485332410029096,0.281547552060227,22.5141185617028,1,0.984,1000,direct,Solisorex_pearsoni,0.0
21,165,Indri_indri,Primates,Indriidae,Indri,CR,10.4777834411613,2.33945298898505,10.9761721077651,2.43606539800417,0.969992492781841,0.0587467320169043,11.271215715527,1,1.0,1000,direct,Indri_indri,0.0
22,40,Manis_crassicaudata,Pholidota,Manidae,Manis,EN,10.3805169266787,6.05213803366778,21.2727951200673,5.78760821861504,0.487398791112181,0.294179283478246,6.80566695792007,1,1.0,1000,direct,Manis_crassicaudata,0.0
23,167,Hypogeomys_antimena,Rodentia,Nesomyidae,Hypogeomys,CR,10.3008976882293,3.0549797311084,10.8597365120737,2.96045607445083,0.969031333205242,0.0609183163912893,9.72751231063368,1,0.984,1000,direct,Hypogeomys_antimena,0.0
24,43,Ailurus_fulgens,Carnivora,Ailuridae,Ailurus,EN,9.70857183717701,5.57042467723476,20.31460987,3.514355915,0.486207987129446,0.281093695747637,20.2370479331,1,1.0,1000,direct,Ailurus_fulgens,0.0
25,198,Mystacina_robusta,Chiroptera,Mystacinidae,Mystacina,CR,9.51965559243238,4.53241511821956,10.0589504654225,4.71059398105612,0.970552445223898,0.0630151400127725,4.62739623117148,1,1.0,1000,direct,Mystacina_robusta,0.0
26,201,Macrotis_leucura,Peramelemorphia,Thylacomyidae,Macrotis,EX,9.4783740406166,5.34584023959192,9.98949546028823,5.36948659971247,0.969371471532928,0.0661190838265316,6.10900274566065,1,1.0,1000,direct,Macrotis_leucura,1.0
27,55,Neohylomys_hainanensis,Eulipotyphla,Erinaceidae,Neohylomys,EN,9.08741115835165,5.04528443682103,17.8405150559185,3.60643258695394,0.497897419964513,0.287806923582753,18.17555097967,1,1.0,1000,direct,Neohylomys_hainanensis,0.0
28,217,Pongo_abelii,Primates,Hominidae,Pongo,CR,9.07893809047151,1.90926475997548,9.55068613066188,1.8957187650385,0.970337072830097,0.0626589653720927,2.0097940558689,1,1.0,1000,direct,Pongo_abelii,0.0
29,218,Pongo_pygmaeus,Primates,Hominidae,Pongo,CR,9.07487390306284,1.91436173147808,9.51989859223483,1.92989462272,0.970496380151356,0.0626699867613592,2.0097940558689,1,1.0,1000,direct,Pongo_pygmaeus,0.0
