EDGErank,species,order,family,genus,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp,isEDGEsp_frac,n_trees,match,mdd_sciName,extinct,EDGE_list_rank
1,Burramys_parvus,Diprotodontia,Burramyidae,Burramys,CR,24.4288352768582,4.26718653068784,25.8333946417601,4.4678316146383,0.969017552722647,0.0652740733396005,25.89502436858,1,1.0,1000,direct,Burramys_parvus,0.0,1
2,Daubentonia_madagascariensis,Primates,Daubentoniidae,Daubentonia,EN,20.0411644184954,11.4326095717708,40.23966447,7.9875085525,0.485787927334518,0.286754805576868,41.0324468814,1,1.0,1000,direct,Daubentonia_madagascariensis,0.0,2
3,Gymnobelideus_leadbeateri,Diprotodontia,Petauridae,Gymnobelideus,CR,19.5534365482907,3.32273151644772,20.5618230155105,3.18905435670835,0.967575510453126,0.0662981227538091,20.67481468046,1,1.0,1000,direct,Gymnobelideus_leadbeateri,0.0,3
5,Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius,EN,14.9427440471831,8.69718257276751,31.418465855,4.95583162566982,0.477873992604072,0.267504895809732,18.4315649679916,1,1.0,1000,direct,Myrmecobius_fasciatus,0.0,4
6,Manis_culionensis,Pholidota,Manidae,Manis,CR,14.762869842737,6.93892834669313,15.5856917570112,7.15002042917572,0.970356921865497,0.0643093832084664,6.59108618365414,1,1.0,1000,direct,Manis_culionensis,0.0,5
7,Desmana_moschata,Eulipotyphla,Talpidae,Desmana,CR,14.3347338126028,4.56312341146115,15.1524298913282,4.68006525442127,0.968126321131184,0.0631341423864674,12.533966043835,1,1.0,1000,direct,Desmana_moschata,0.0,6
8,Manis_pentadactyla,Pholidota,Manidae,Manis,CR,14.2305190945144,6.63240784481634,14.9962479587076,7.10916194866603,0.970255103189162,0.0643691045698731,0.868426868798592,1,1.0,1000,direct,Manis_pentadactyla,0.0,7
9,Manis_javanica,Pholidota,Manidae,Manis,CR,14.1766755545633,6.62788639767391,14.970963113293,6.60861819597227,0.970255103189162,0.0643103644654012,0.853712047122,1,1.0,1000,direct,Manis_javanica,0.0,8
11,Varecia_variegata,Primates,Lemuridae,Varecia,CR,12.0680147972203,2.80016900856675,12.6348710165972,2.68344045611888,0.970140448847516,0.0600388275090146,0.9384068616351,1,1.0,1000,direct,Varecia_variegata,0.0,9
12,Varecia_rubra,Primates,Lemuridae,Varecia,CR,12.0536721476995,2.77098000311766,12.6173093348197,2.66854049082393,0.970168698415343,0.0598034797959762,0.9384068616351,1,1.0,1000,direct,Varecia_rubra,0.0,10
20,Solisorex_pearsoni,Eulipotyphla,Soricidae,Solisorex,EN,11.2957921534854,7.42838271936586,24.83131725,5.693875665,0.485332410029096,0.281547552060227,22.5141185617028,1,0.984,1000,direct,Solisorex_pearsoni,0.0,11
21,Indri_indri,Primates,Indriidae,Indri,CR,10.4777834411613,2.33945298898505,10.9761721077651,2.43606539800417,0.969992492781841,0.0587467320169043,11.271215715527,1,1.0,1000,direct,Indri_indri,0.0,12
22,Manis_crassicaudata,Pholidota,Manidae,Manis,EN,10.3805169266787,6.05213803366778,21.2727951200673,5.78760821861504,0.487398791112181,0.294179283478246,6.80566695792007,1,1.0,1000,direct,Manis_crassicaudata,0.0,13
23,Hypogeomys_antimena,Rodentia,Nesomyidae,Hypogeomys,CR,10.3008976882293,3.0549797311084,10.8597365120737,2.96045607445083,0.969031333205242,0.0609183163912893,9.72751231063368,1,0.984,1000,direct,Hypogeomys_antimena,0.0,14
24,Ailurus_fulgens,Carnivora,Ailuridae,Ailurus,EN,9.70857183717701,5.57042467723476,20.31460987,3.514355915,0.486207987129446,0.281093695747637,20.2370479331,1,1.0,1000,direct,Ailurus_fulgens,0.0,15
25,Mystacina_robusta,Chiroptera,Mystacinidae,Mystacina,CR,9.51965559243238,4.53241511821956,10.0589504654225,4.71059398105612,0.970552445223898,0.0630151400127725,4.62739623117148,1,1.0,1000,direct,Mystacina_robusta,0.0,16
27,Neohylomys_hainanensis,Eulipotyphla,Erinaceidae,Neohylomys,EN,9.08741115835165,5.04528443682103,17.8405150559185,3.60643258695394,0.497897419964513,0.287806923582753,18.17555097967,1,1.0,1000,direct,Neohylomys_hainanensis,0.0,17
28,Pongo_abelii,Primates,Hominidae,Pongo,CR,9.07893809047151,1.90926475997548,9.55068613066188,1.8957187650385,0.970337072830097,0.0626589653720927,2.0097940558689,1,1.0,1000,direct,Pongo_abelii,0.0,18
29,Pongo_pygmaeus,Primates,Hominidae,Pongo,CR,9.07487390306284,1.91436173147808,9.51989859223483,1.92989462272,0.970496380151356,0.0626699867613592,2.0097940558689,1,1.0,1000,direct,Pongo_pygmaeus,0.0,19
30,Mirimiri_acrodonta,Chiroptera,Pteropodidae,Mirimiri,CR,8.96216293455609,2.31399738422893,9.37569033833381,2.37949546214124,0.972014482950201,0.0617597947941174,8.69163652187902,1,0.965,1000,direct,Mirimiri_acrodonta,0.0,20
31,Lipotes_vexillifer,Artiodactyla,Lipotidae,Lipotes,CR,8.79674332645601,1.84244597595333,9.21785343376307,1.84782389243277,0.971487706269254,0.0605287664654335,8.6685384082747,1,0.986,1000,direct,Lipotes_vexillifer,0.0,21
32,Galemys_pyrenaicus,Eulipotyphla,Talpidae,Galemys,EN,8.59451777892427,5.24717847493974,17.5119502512448,6.61802005446437,0.475060464888952,0.291477875834344,12.583411617353,1,1.0,1000,direct,Galemys_pyrenaicus,0.0,22
33,Bradypus_torquatus,Pilosa,Bradypodidae,Bradypus,EN,7.9187935569245,4.58014772569058,16.3467699150738,4.92040924517498,0.472051599209105,0.291228960577283,12.7363018402141,1,1.0,1000,direct,Bradypus_torquatus,0.0,23
34,Cheirogaleus_sibreei,Primates,Cheirogaleidae,Cheirogaleus,CR,7.65581152986988,2.38202504605327,8.00481657648464,2.46739453581763,0.970705609022416,0.0590220693147838,7.10353949555482,1,0.949,1000,direct,Cheirogaleus_sibreei,0.0,24
35,Dicerorhinus_sumatrensis,Perissodactyla,Rhinocerotidae,Dicerorhinus,CR,7.4559502653093,2.91692112056289,7.77050448928329,3.08162283410894,0.970552582153358,0.0640166266798522,6.403843556243,1,1.0,1000,direct,Dicerorhinus_sumatrensis,0.0,25
36,Bradypus_pygmaeus,Pilosa,Bradypodidae,Bradypus,CR,7.35241334562432,8.79553258559765,7.7332729167243,9.10147050482541,0.967518866204957,0.0637844103757803,6.2813185110724,1,0.873,1000,direct,Bradypus_pygmaeus,0.0,26
