EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
1,6,Rheobatrachus_vitellinus,Northern Gastric Brooding Frog,Anura,Myobatrachidae,EX,85.2299040491326,15.5598151161297,89.7294640591959,14.3731307055679,0.969683360370133,0.0650486245397899,23.791973402344,1.0,0,1000,direct,Rheobatrachus_vitellinus,False,False,,,
2,7,Rheobatrachus_silus,Southern Gastric Brooding Frog,Anura,Myobatrachidae,EX,85.085377593761,15.5678453213305,89.6579704226623,14.832969973755,0.969683360370133,0.0650486245397899,23.791973402344,1.0,0,1000,direct,Rheobatrachus_silus,False,False,,,
3,17,Ericabatrachus_baleensis,Bale Mountains Frog,Anura,Petropedetidae,CR,68.4759660870367,15.1345281835849,72.178777507845,15.3823557571048,0.973030657356017,0.0542534814927315,72.56895344565,1.0,1,1000,direct,Ericabatrachus_baleensis,False,False,,,
4,33,Parhoplophryne_usambarica,Amani Forest Frog,Anura,Microhylidae,CR,56.9925022131324,21.9439000674395,60.2046375456261,22.6316859987018,0.969062385216665,0.0704011684489494,56.112946002895,1.0,1,1000,direct,Parhoplophryne_usambarica,False,False,,,
5,43,Balebreviceps_hillmani,Bale Mountains Treefrog,Anura,Brevicipitidae,CR,52.2191390932625,12.6558761437684,54.3847872007101,13.0775757859594,0.971589141955709,0.0542881255102504,55.80370454613,1.0,1,1000,direct,Balebreviceps_hillmani,False,False,,,
6,42,Sechellophryne_pipilodryas,Seychelles Palm Frog,Anura,Sooglossidae,CR,51.6674399657152,15.7126216146961,54.3952370139544,16.3471360393901,0.971589141955709,0.0546392974565166,25.65812892,1.0,1,1000,direct,Sechellophryne_pipilodryas,False,False,,,
7,46,Minyobates_steyermarki,,Anura,Dendrobatidae,CR,49.7837419325922,7.20666485505845,52.4340781900002,6.64501416749972,0.96763732124959,0.0674349143471634,52.60654266414,1.0,1,1000,direct,Minyobates_steyermarki,False,False,,,
8,51,Sooglossus_thomasseti,Thomasset's Frog,Anura,Sooglossidae,CR,48.0543057250171,17.2183770334403,50.0442850002646,17.5805359880988,0.971589141955709,0.0544704232628049,18.204697199,1.0,1,1000,direct,Sooglossus_thomasseti,True,False,,,
9,67,Rhinoderma_rufum,Northern Darwin's Frog,Anura,Rhinodermatidae,CR,44.4224887302637,17.0699815011244,46.5977329147863,17.5458466784012,0.970789464393482,0.0603451173678119,26.3567028262336,1.0,1,1000,direct,Rhinoderma_rufum,False,False,,,
10,71,Latonia_nigriventer,Hula Painted Frog,Anura,Alytidae,CR,43.4976115360061,12.2934952054097,45.6525778558343,12.3654527177731,0.971192969493053,0.0576363504550604,46.50758162,1.0,1,1000,direct,Latonia_nigriventer,False,False,,,
11,11,Sechellophryne_gardineri,Gardiner's Seychelles Frog,Anura,Sooglossidae,EN,39.6371015458353,20.7237698249516,78.7578359636773,20.9541142139991,0.495110542781442,0.271301170895743,25.65812892,1.0,1,1000,direct,Sechellophryne_gardineri,False,False,,,
12,12,Sooglossus_sechellensis,Seychelles Frog,Anura,Sooglossidae,EN,39.5280303963071,20.9358850280753,78.2024783367391,19.0203909794067,0.494293984180757,0.268072671987061,18.204697199,1.0,1,1000,direct,Sooglossus_sechellensis,False,False,,,
13,106,Somuncuria_somuncurensis,Valcheta Frog,Anura,Leptodactylidae,CR,38.0191646707558,27.9068314933177,39.750732875,28.9992592404046,0.970722291152753,0.0601826397947642,38.0319012404792,0.938,1,1000,GBIF_accepted,Pleurodema_somuncurense,False,False,,,
14,103,Stumpffia_tridactyla,Guibe's Stump-toed Frog,Anura,Microhylidae,CR,37.8281699766262,9.44233602543658,39.8878512185403,8.91833528056433,0.970802529049409,0.0638895814753822,35.2104384131484,0.996,1,1000,direct,Stumpffia_tridactyla,False,False,,,
15,112,Atopophrynus_syntomopus,Sonson Frog,Anura,Strabomantidae,CR,37.385455730212,15.7710743476559,39.2455435148725,16.5008483946504,0.970614616055494,0.0593574262345027,40.93563940809,1.0,1,1000,direct,Atopophrynus_syntomopus,False,False,,,
16,151,Stumpffia_helenae,,Anura,Microhylidae,CR,33.9736384165668,9.59411190307071,35.7208957805857,10.1322516580268,0.970131782723272,0.064711299975015,29.7675421926776,0.997,1,1000,GBIF_accepted,Anilany_helenae,False,False,,,
17,22,Madecassophryne_truebae,Trueb's Madagascar Treefrog,Anura,Microhylidae,EN,33.2126640711997,19.2318260786207,68.77109585,12.912102035,0.486437580716684,0.284871435536552,69.62004282608,1.0,1,1000,direct,Madecassophryne_truebae,False,False,,,
18,171,Eleutherodactylus_unicolor,,Anura,Eleutherodactylidae,CR,32.3578206598923,11.2710636815876,34.2066100456031,11.3348939978192,0.969371471532928,0.0615418557304065,24.9677072130206,0.942,1,1000,direct,Eleutherodactylus_unicolor,False,False,,,
19,27,Insuetophrynus_acarpicus,Barrio's Frog,Anura,Rhinodermatidae,EN,32.0992992294893,17.9626733515,65.0620299035857,11.9242895514607,0.490642348072393,0.28173066601085,57.5445110832,1.0,1,1000,direct,Insuetophrynus_acarpicus,False,False,,,
20,175,Nannophryne_cophotis,Paramo Toad,Anura,Bufonidae,CR,32.0540316836962,8.71497106478584,33.9605376867175,8.77910237416003,0.970534320595524,0.0613028105561847,22.9547486690467,1.0,1,1000,direct,Nannophryne_cophotis,False,False,,,
21,207,Phrynobatrachus_chukuchuku,Spiny Puddle Frog,Anura,Phrynobatrachidae,CR,30.8013161679325,17.8042022422269,32.2782858435946,18.4250266273068,0.972560706395817,0.0540940023784533,26.6895641430439,0.901,1,1000,direct,Phrynobatrachus_chukuchuku,False,False,,,
22,30,Rhinoderma_darwinii,Southern Darwin's Frog,Anura,Rhinodermatidae,EN,30.6209427579195,16.9599923669069,63.3393413515006,11.4991002889754,0.490642348072393,0.28173066601085,26.3567028262336,1.0,1,1000,direct,Rhinoderma_darwinii,True,True,exact,Rhinoderma_darwinii,GCA_050947455.1
23,216,Eleutherodactylus_schmidti,Hispaniolan Streamside Frog,Anura,Eleutherodactylidae,CR,30.314821332616,6.18484570876125,31.9072640836856,6.03496245287592,0.969820635378184,0.0636036607602249,31.5006330176892,0.977,1,1000,direct,Eleutherodactylus_schmidti,False,False,,,
24,225,Paratelmatobius_mantiqueira,,Anura,Leptodactylidae,CR,29.849348240537,12.6082091631589,31.580314180711,12.7547712441924,0.97112732079161,0.0592774817287677,25.6374193473841,0.975,1,1000,direct,Paratelmatobius_mantiqueira,False,False,,,
25,31,Tsingymantis_antitra,,Anura,Mantellidae,EN,29.6241690513504,17.1540817277724,61.89153,9.49780106999999,0.470736776009087,0.283629264522689,62.44260116053,1.0,1,1000,direct,Tsingymantis_antitra,False,False,,,
26,264,Agalychnis_lemur,Lemur Leaf Frog,Anura,Hylidae,CR,28.5632418893102,5.52688131234066,29.9646459770136,5.21946262365852,0.972870684438172,0.0559419773050051,30.14585103013,1.0,1,1000,direct,Agalychnis_lemur,False,False,,,
27,289,Grandisonia_brevis,Mahé Caecilian,Gymnophiona,Indotyphlidae,CR,27.6474569243315,6.61543167229324,28.9232934960226,6.45873019421955,0.969912797208483,0.0616572324844421,27.43168263955,1.0,1,1000,GBIF_accepted,Hypogeophis_brevis,False,False,,,
28,287,Boulengerula_denhardti,Denhardt's Caecilian,Gymnophiona,Herpelidae,CR,27.6367050277814,34.3042109633399,28.9706022003866,36.4917816418227,0.970193853539334,0.0598188180160506,31.567062953032,0.924,1,1000,direct,Boulengerula_denhardti,False,False,,,
29,299,Megastomatohyla_nubicola,Cloud Forest Treefrog,Anura,Hylidae,CR,27.2975998414047,10.6617482007,28.6440593988791,11.1705264400548,0.971400287179017,0.0602399598793691,10.6621507286144,1.0,1,1000,direct,Megastomatohyla_nubicola,False,False,,,
