tree,PD,ePDloss
1,137996.948231599,22249.8110559262
2,139268.56739552,22530.6086958313
3,139081.696881273,22647.4449737542
4,139092.847920664,22141.3194871773
5,132967.471368485,21761.4292643069
6,138919.183002197,22650.2847662454
7,133360.576066646,21973.9004223253
8,137456.570981709,22232.5558118935
9,139265.291395865,22345.218824933
10,136166.608077232,21391.4832041395
11,136659.990289447,21790.404015411
12,137499.748062135,22370.7153824806
13,133731.04581526,21679.6236902924
14,136181.945660469,22035.3969406361
15,139660.619489901,22631.1343196598
16,139511.654378479,21878.1746550492
17,134991.895380085,21942.6828383049
18,142377.860884716,22826.9387811305
19,137824.457983106,22320.1181516828
20,144213.55455422,23359.2988265177
21,141708.255319515,22777.788995112
22,140111.389203067,22786.1678907328
23,140309.684147234,22622.4960855868
24,139354.945857616,22345.5950003788
25,141754.759294134,23010.291666112
26,138001.282635546,22063.7646235314
27,141419.039834857,23104.3041157363
28,140376.286204217,22565.4194275549
29,143852.410600044,22832.6184460174
30,144094.935920561,23175.0693132443
31,139914.766858218,22518.6107846474
32,141400.421042214,23017.8399823971
33,138017.644688593,22231.6657531519
34,140799.982151368,22607.4541492405
35,138910.775009122,22469.3937940585
36,137791.048710938,22408.9353591226
37,143084.060535216,23379.9114522091
38,141313.439959292,22797.3520823427
39,142956.7630374,23038.5664728744
40,142888.68324257,22783.452089914
41,138447.22543723,22750.2163098598
42,139272.628635132,22337.2073888058
43,142844.828849902,23147.5912596357
44,145570.801033242,23614.7111266785
45,148199.968242694,23658.9630083914
46,142655.943223551,23130.0196040795
47,145649.838976509,23564.8638438928
48,144132.47632507,23200.4313668205
49,144917.980286757,23168.0381324717
50,139904.352331872,23098.1848419896
51,138647.986257897,22154.0929578784
52,141081.668021724,22826.3622807622
53,143714.759500491,23146.7349192737
54,141971.602395383,23288.6274987877
55,143700.634946594,23189.1614377007
56,142681.726237091,22922.9202592561
57,138186.857898436,22112.3595788303
58,137741.784223853,21946.1855320092
59,140016.748262942,22056.5415465685
60,144615.656060186,23077.6322312072
61,135484.848561055,21197.79981542
62,147500.643043179,23288.077732217
63,144062.276837785,23077.232377396
64,146019.301332003,23686.758118298
65,147195.55621762,23282.8384860796
66,148344.958950556,23772.022783462
67,144027.830875828,22688.3762199761
68,147153.769530176,23880.3456729678
69,145889.423271193,22959.6803843558
70,144285.498251674,23074.3460176126
71,142128.623813598,22314.1222367529
72,138111.707020488,21632.6588402263
73,147120.284374042,23222.243468806
74,143636.28974058,23333.8475219201
75,138232.483969436,21507.7361095622
76,138488.546836874,21696.092976144
77,144636.442165249,22769.8724841822
78,140989.686429184,21981.096725314
79,137089.604741755,21481.9665131611
80,147596.397123149,23479.8638651942
81,146147.43161819,23496.741601907
82,145361.720627048,22827.1291223953
83,139102.712468742,21336.0911205711
84,139114.695571371,22010.8486823876
85,137492.039083386,21596.5901140602
86,139368.62008894,21823.5617146631
87,140640.206200942,21694.5748177515
88,146059.124030389,23159.3575692401
89,147105.25080468,23533.0886660135
90,146157.989781859,23316.0041131089
91,149053.57918099,23510.6583746338
92,151128.990996059,23619.7148962919
93,147003.81370269,23318.3270016765
94,148574.176145031,23499.3086682188
95,147094.246909825,23353.9315413923
96,145522.293327558,23026.8170142283
97,141302.796745409,22475.4972990969
98,140798.03670423,21999.8612351252
99,141258.428879583,22364.3804367328
100,139444.094327537,21965.7435747138
101,141655.740211283,22578.6713130166
102,138764.975606787,21799.5957310773
103,133056.06710932,20977.6064051322
104,139933.344344033,22560.8235070859
105,143745.783863846,22643.4995256352
106,141443.115639416,22575.8198470773
107,138496.141215513,22279.9997833973
108,136049.409492453,21979.3201386764
109,136948.467957697,22149.895164279
110,134407.134170571,21074.8390165845
111,133348.987106418,20367.1106621295
112,136145.819489487,21828.4810955143
113,137691.772379059,21438.1645107315
114,140967.334717871,22427.5606794814
115,139302.389461407,21691.122522123
116,145781.520474766,23142.705375448
117,137491.704896237,21372.4757132816
118,144417.009090806,23514.4247086606
119,138573.487077579,21654.7799305517
120,141486.454856457,21888.1442155758
121,138304.87722683,21610.4801289248
122,140080.951412979,21777.3314950122
123,140276.039191372,21577.4143414846
124,138765.619948707,21774.2509431841
125,134920.691277296,21108.1341875888
126,134541.479128551,21027.2180077876
127,137169.721019422,21613.3803920097
128,141487.949377681,22763.3393137995
129,138591.57229815,21645.6345771815
130,137232.441160921,21873.1743078555
131,140838.472426661,22046.9204936992
132,138577.611797658,21461.832230796
133,142073.668329299,22507.3767880684
134,140980.511598563,22103.6578856876
135,134680.01034501,20901.2067685013
136,140811.256614198,22311.9734340413
137,138901.723262586,21709.8988848759
138,141795.779805317,22055.8177992458
139,135153.242311152,21211.6468207427
140,137217.103002596,21476.4640251268
141,136147.149241848,21290.1725385044
142,137265.280601799,21322.5163960899
143,136728.418820093,20888.7933270886
144,134468.061508756,21421.222237544
145,135985.385445639,21175.0029342973
146,136330.255128588,21217.6095802682
147,137803.521645378,21109.2752491558
148,136650.347719992,21118.3258354064
149,136934.374903457,21030.3022518923
150,136709.191870768,21429.2724952414
151,136473.892707613,21634.1282697217
152,133424.073364424,20723.5380062784
153,136179.268323397,21534.0644795942
154,135771.843399138,21369.9379673737
155,130046.247379472,20254.1984080814
156,129350.129319355,20332.5305247336
157,131763.833415777,20346.98506168
158,136995.694885118,21416.1412841162
159,135591.787426653,21005.1069339066
160,134190.407403678,20595.8651482846
161,135153.83919016,20742.9094938876
162,137037.771042783,21805.9178819471
163,137362.619834367,21126.3985553726
164,135626.519729192,21135.9099396979
165,139547.316199473,21153.2822631552
166,137910.681441126,21236.0167003141
167,136632.235655697,20541.0165521756
168,139310.340336804,21813.3523768616
169,137329.784525867,20840.9559374469
170,140471.792902773,21184.4831265191
171,138622.6807355,21330.3064544381
172,142823.553093455,22026.475832684
173,140791.197778747,21932.7189245449
174,138451.648695212,21740.5700407108
175,140635.335735343,22099.9478834993
176,141112.715531005,22206.1165810687
177,138317.695853011,21866.6251897139
178,136015.98983086,21364.1880926079
179,138501.133739778,21078.7392569758
180,138971.855160479,21530.8186172129
181,136409.627249266,21517.4621236407
182,138414.906460928,21373.4487735127
183,140807.085279028,22038.2210806568
184,138627.405596973,21371.3855015371
185,138762.161386411,21091.9202227985
186,141364.30260987,21465.5451788044
187,136889.327541333,20809.6024090276
188,144562.722908437,22150.1614865098
189,146233.436947459,22604.4998488797
190,147241.81016231,22889.122363619
191,145063.766692117,22014.0105233582
192,139444.866345471,21523.5480732686
193,137386.361659665,21289.5859544489
194,139108.561292697,21850.8350988046
195,140571.707762268,21338.6349412196
196,139858.501428054,21750.9420884212
197,139451.476554212,21453.3694635184
198,139654.589039421,21184.3094607658
199,141658.405231622,21589.5226985518
200,138240.275616905,21459.1899382253
201,137232.234382087,20924.5916574371
202,138416.642131047,21254.4044494874
203,140248.871996923,21780.8314851986
204,140076.074006128,22020.7258232661
205,141206.821436517,21982.8927473619
206,140183.757458767,21637.5114078604
207,135636.924941546,20352.8586238755
208,133782.663779962,20601.1772472263
209,131315.668949508,20240.0614395166
210,130967.727971132,19766.9743095739
211,133529.241536017,20089.5359583031
212,133515.735935076,20464.2809953419
213,135322.09948049,20882.584384736
214,135594.242102798,20794.8527445913
215,131592.675778191,20743.9589971974
216,134881.055090043,20933.6252069428
217,132069.476440847,20062.2632208843
218,134145.070415596,21050.894857455
219,133624.435205212,20595.2747707821
220,134683.660562549,20594.4999347717
221,136243.776350138,21053.6738741006
222,134383.117275085,20359.6596752375
223,130780.907885801,20063.6589294271
224,134183.311257385,20498.8244251112
225,140453.339432688,21577.2896729356
226,131076.383722691,19994.1065650929
227,136593.763857645,21118.5489464193
228,137998.243263704,20845.2427792638
229,137235.759148743,21218.0829472313
230,138592.148877491,21186.974289988
231,135313.649061645,20446.6229810247
232,135261.597637819,20518.110975081
233,133575.446250154,20265.6596894766
234,135366.417051905,21159.3241859011
235,136205.901629507,20625.0576506958
236,133407.792627018,20725.1684244523
237,137190.817043865,21201.8966098136
238,132005.467286237,20234.4028597558
239,130399.570253335,19855.3329777262
240,136200.402611665,21056.5639205372
241,137375.064897033,21350.8418104193
242,134384.847031438,20502.4979305228
243,132985.290243353,20598.0226410936
244,135181.478961361,21649.3939292986
245,131328.012013106,20540.8814774847
246,131605.674116101,20538.929816937
247,134704.334746873,21061.2784109737
248,133083.634428988,20950.9906694224
249,130292.69929046,19929.8124278978
250,133018.680800671,20925.3680060943
251,134756.971584957,20635.8949387549
252,131276.822133254,20753.3867183013
253,137256.926093868,20976.3649941526
254,131513.536278633,20539.8865138652
255,134938.077049992,21077.6837981134
256,133473.719537971,20885.6963989286
257,132505.036423584,20071.0125168431
258,133458.538169504,21129.3827681523
259,136324.546111917,21632.7931986994
260,136709.994305293,21553.2273824069
261,136801.147965448,20955.1738238728
262,135246.512842965,21055.9575283247
263,133982.622698832,20554.3101462465
264,131374.028017482,20708.5167718272
265,130111.564686925,20212.5124689983
266,129117.626131262,19822.5963885235
267,135252.12054003,21030.8218349486
268,133345.752486659,20898.0019438838
269,134357.88428578,20946.3959902685
270,135200.897734082,21318.8481122201
271,136539.371067585,21243.0671018431
272,137329.624611757,21692.7633380526
273,138276.03825929,21565.0764253308
274,134213.724830928,20846.7062010938
275,138789.14691156,21504.9983365185
276,137114.692388539,21200.0517902864
277,137011.366666129,21340.4911995648
278,135661.672003423,20845.6531030164
279,137608.70293944,21055.3116936679
280,133558.624850814,20511.7476051364
281,136793.751923552,21307.5421148308
282,136932.551407925,21016.4346222542
283,137830.075790146,21558.1010933678
284,134810.694190674,20961.6312892258
285,132140.696700147,20244.0376821643
286,137166.945046603,20992.4706811288
287,135455.882969095,20724.89889851
288,138004.847223934,20529.406310405
289,135860.316113163,20516.1689893645
290,135333.331718248,20607.0674163362
291,135722.798322931,20248.9572322085
292,136394.101345855,21073.852335323
293,137183.457473138,21033.5250669323
294,136745.732286784,20881.6507208565
295,140263.208023559,21802.6936403427
296,138676.585055874,21730.7670429706
297,134654.233764449,20526.181247459
298,134423.458519557,20601.7280842762
299,137482.229978913,20641.0223943502
300,136762.442153485,21063.3914873269
301,133477.07921303,20271.4154486558
302,134061.394187473,20497.7988178599
303,131168.842249597,20287.8071455032
304,133498.648623943,20756.1250517212
305,130355.132960841,20643.6364745081
306,130950.37412045,20511.3160694316
307,132557.115567118,20954.5861319517
308,136598.835116063,21246.3682338284
309,134591.41797262,21144.8503409173
310,140357.510598975,21544.8595126739
311,136745.442364075,21469.3594111428
312,135844.85742177,21295.3622474025
313,134293.12463161,22187.7742996013
314,138233.569574168,22159.0526457023
315,139884.242478354,22138.3947119261
