EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
1,8,Thaumatibis_gigantea,Giant Ibis,Pelecaniformes,Threskiornithidae,CR,54.5262015625442,6.52069384180272,57.101582035,6.179843735,0.971498576647875,0.0571395133431182,56.95018835979,1.0,1,1000,direct,Thaumatibis_gigantea,False,False,,,
2,17,Strigops_habroptila,,Psittaciformes,Psittacidae,CR,43.169954342906,9.10053528843719,45.9388741550132,8.57574388948511,0.96997946382861,0.063446095499452,42.82048686707,1.0,1,1000,GBIF_iucn_link,Strigops_habroptila,True,True,synonym_of_tip,Strigops_habroptilus,GCA_004027225.2
3,33,Aegotheles_savesi,New Caledonian Owlet-nightjar,Apodiformes,Aegothelidae,CR,32.9221534494045,17.7612510150973,34.9352668347904,18.6198107237979,0.971854726047593,0.057792106433079,35.39402743783,1.0,1,1000,direct,Aegotheles_savesi,False,False,,,
4,5,Sagittarius_serpentarius,Secretarybird,Accipitriformes,Accipitridae,EN,30.6677357048954,17.3589398407296,62.90503919,9.67878145000001,0.492576845993419,0.298715342916793,61.92039897585,1.0,1,1000,direct,Sagittarius_serpentarius,False,False,,,
5,59,Sypheotides_indicus,Lesser Florican,Otidiformes,Otididae,CR,30.0153357360284,7.74196769496971,31.5305823860897,8.19995958802597,0.971707080790991,0.0620305235967866,14.715473813636,1.0,1,1000,direct,Sypheotides_indicus,False,False,,,
6,58,Houbaropsis_bengalensis,Bengal Florican,Otidiformes,Otididae,CR,29.9721824390609,7.96639734333139,31.5736500292072,7.89557632304436,0.971505608599889,0.0620305235967866,14.715473813636,1.0,1,1000,direct,Houbaropsis_bengalensis,False,False,,,
7,60,Macrocephalon_maleo,Maleo,Galliformes,Megapodiidae,CR,29.9178752336252,8.98666326145895,31.4031682250011,9.40226994001297,0.968830010121846,0.0599960338456416,32.35645755685,1.0,1,1000,direct,Macrocephalon_maleo,False,False,,,
8,102,Didunculus_strigirostris,Tooth-billed Pigeon,Columbiformes,Columbidae,CR,25.2466996826189,4.60286297346163,26.79504735518,4.38115190967114,0.9704099280023,0.0616816717902381,26.64439696829,1.0,1,1000,direct,Didunculus_strigirostris,False,False,,,
9,143,Pithecophaga_jefferyi,Philippine Eagle,Accipitriformes,Accipitridae,CR,22.8545215240694,3.78752904593324,24.029182235,3.58748114735033,0.972806488159812,0.0617619402910451,23.839201704,1.0,1,1000,direct,Pithecophaga_jefferyi,False,False,,,
10,157,Gymnogyps_californianus,California Condor,Accipitriformes,Cathartidae,CR,22.1572323499434,11.7571165196395,23.3783429058943,11.9667774552711,0.972025092065859,0.0613961641498925,23.564430957844,1.0,1,1000,direct,Gymnogyps_californianus,False,False,,,
11,26,Rhynochetos_jubatus,Kagu,Eurypygiformes,Rhynochetidae,EN,19.2356321338578,10.7470985128167,38.5605946988672,14.2689093907764,0.493632974419255,0.283031996657062,36.73944866365,1.0,1,1000,direct,Rhynochetos_jubatus,True,True,exact,Rhynochetos_jubatus,GCA_027574665.1
12,218,Eurynorhynchus_pygmeus,Spoon-billed Sandpiper,Charadriiformes,Scolopacidae,CR,18.783695961311,3.70287575680388,19.79556547,3.6764950725,0.972560706395817,0.0541662724833972,19.95480334588,1.0,1,1000,GBIF_accepted,Calidris_pygmaea,False,False,,,
13,27,Pedionomus_torquatus,Plains-wanderer,Charadriiformes,Pedionomidae,EN,18.7234477581256,9.84213997637467,37.7386138482703,6.41571029615428,0.497307899702545,0.273369732781025,36.1348917155857,1.0,1,1000,direct,Pedionomus_torquatus,False,False,,,
14,322,Callaeas_cinereus,South Island Kokako,Passeriformes,Callaeatidae,CR,16.0582137183143,5.89998740945682,16.6799312049949,6.20167936888755,0.971995687873293,0.0604493551148847,16.246412676225,1.0,1,1000,direct,Callaeas_cinereus,False,False,,,
15,57,Eutriorchis_astur,Madagascar Serpent-eagle,Accipitriformes,Accipitridae,EN,15.6920818918139,8.98855832133439,31.6898406419023,4.53191339654141,0.498270458318888,0.298825719784032,31.65360429894,1.0,1,1000,direct,Eutriorchis_astur,False,False,,,
16,333,Rhinoplax_vigil,Helmeted Hornbill,Bucerotiformes,Bucerotidae,CR,15.6705772173874,9.38294175090649,16.4396350869944,9.66457605206726,0.970374942344699,0.0624699271332836,17.35405323092,1.0,1,1000,direct,Rhinoplax_vigil,False,False,,,
17,63,Taoniscus_nanus,Dwarf Tinamou,Tinamiformes,Tinamidae,EN,14.3612465473864,12.5887695507762,30.8581439688138,21.2279515656121,0.470736776009087,0.283629264522689,30.6308686508778,0.989,1,1000,direct,Taoniscus_nanus,False,False,,,
18,75,Oreoscopus_gutturalis,Fernwren,Passeriformes,Acanthizidae,EN,14.1676249479193,7.47388270148247,29.3642921,6.151414965,0.49532741591327,0.273171106002089,29.2406060517,1.0,1,1000,direct,Oreoscopus_gutturalis,False,False,,,
19,82,Xenicus_gilviventris,New Zealand Rockwren,Passeriformes,Acanthisittidae,EN,13.2879939811113,15.9190998768713,28.380044707368,30.5760684084423,0.483772291346153,0.280934310642477,28.187893696147,0.988,1,1000,direct,Xenicus_gilviventris,False,False,,,
20,97,Atrichornis_rufescens,Rufous Scrub-bird,Passeriformes,Atrichornithidae,EN,12.9914297680143,9.00717005711375,27.1339469402272,14.1115774567835,0.487816086382669,0.271233380676531,17.7785711297579,1.0,1,1000,direct,Atrichornis_rufescens,False,False,,,
21,96,Atrichornis_clamosus,Noisy Scrub-bird,Passeriformes,Atrichornithidae,EN,12.9221209840983,8.88370330538528,27.3643532113311,14.3603380620948,0.488202543034757,0.271977796488104,17.7785711297579,1.0,1,1000,direct,Atrichornis_clamosus,False,False,,,
22,121,Neophron_percnopterus,Egyptian Vulture,Accipitriformes,Accipitridae,EN,12.8708234575948,7.50796753739732,25.8006720058841,4.16209720769605,0.49895636048105,0.298903475945531,24.84801355442,1.0,1,1000,direct,Neophron_percnopterus,False,False,,,
23,534,Lathamus_discolor,Swift Parrot,Psittaciformes,Psittacidae,CR,12.7782666150702,4.99003452912243,13.475716655,5.19812299250001,0.972118761542337,0.0543031048300469,13.707932504766,1.0,1,1000,direct,Lathamus_discolor,True,True,exact,Lathamus_discolor,GCA_037157495.1
24,577,Sarcogyps_calvus,Red-headed Vulture,Accipitriformes,Accipitridae,CR,12.3563733003456,2.15839330610262,12.9730204147128,2.14196246904244,0.972336952816696,0.0617755096373809,12.820096295218,1.0,1,1000,direct,Sarcogyps_calvus,False,False,,,
25,594,Necrosyrtes_monachus,Hooded Vulture,Accipitriformes,Accipitridae,CR,12.1926292993939,2.32489251479853,12.8094107940213,2.2613547887385,0.972420504191453,0.061630186732518,12.77764983269,1.0,1,1000,direct,Necrosyrtes_monachus,False,False,,,
26,643,Heliopais_personatus,Masked Finfoot,Gruiformes,Heliornithidae,CR,11.89417968801,12.2917630215156,12.3656088162427,12.9068348429207,0.971299925216418,0.0560937879819032,10.799966535681,0.791,1,1000,direct,Heliopais_personatus,False,False,,,
27,152,Heteroglaux_blewitti,,Strigiformes,Strigidae,EN,11.7092718701841,6.46279572856055,23.5244919555899,5.42302308964211,0.501011484710204,0.298635493306252,23.7466823245,1.0,1,1000,GBIF_iucn_link,Heteroglaux_blewitti,False,False,,,
28,15,Balaeniceps_rex,Shoebill,Pelecaniformes,Balaenicipitidae,VU,11.6226710449334,3.99355493707184,49.1373291744278,8.54195344116362,0.244717018740768,0.0778625085425587,48.48594001579,1.0,1,1000,direct,Balaeniceps_rex,False,False,,,
29,769,Cyanopsitta_spixii,Spix's Macaw,Psittaciformes,Psittacidae,EW,10.8636203292133,3.46578248170611,11.4216992850482,3.50723474725087,0.97072485198955,0.0600286021855782,11.568041899194,1.0,0,1000,direct,Cyanopsitta_spixii,False,False,,,
30,789,Prosobonia_cancellata,Christmas Sandpiper,Charadriiformes,Scolopacidae,EX,10.5974296205522,13.3103046359739,11.2759527842981,13.7364377275293,0.972162963909687,0.056598640789974,12.932618720761,0.876,0,1000,direct,Prosobonia_cancellata,False,False,,,
31,870,Pezoporus_occidentalis,Night Parrot,Psittaciformes,Psittacidae,CR,10.2261491817563,4.23896695447872,10.7233275322828,4.36685603341544,0.972093450741895,0.0570619815655737,10.439010461753,1.0,1,1000,direct,Pezoporus_occidentalis,False,False,,,
32,194,Terathopius_ecaudatus,Bateleur,Accipitriformes,Accipitridae,EN,10.2058289430603,5.84502100429533,20.7546604671716,3.35452871639239,0.501983737955544,0.303704274112682,20.63534402607,1.0,1,1000,direct,Terathopius_ecaudatus,False,False,,,
33,167,Nipponia_nippon,Asian Crested Ibis,Pelecaniformes,Threskiornithidae,EN,10.0668603422786,9.80162030979624,22.581451181255,18.682236888326,0.49234051704112,0.281132321508049,20.2305429239575,0.954,1,1000,direct,Nipponia_nippon,False,False,,,
34,920,Centropus_steerii,Black-hooded Coucal,Cuculiformes,Cuculidae,CR,9.92369162695936,2.96647125214622,10.4258393077275,2.93232026487692,0.971512663127861,0.061507069590897,9.59563029752337,0.961,1,1000,direct,Centropus_steerii,False,False,,,
35,949,Alcedo_euryzona,Javan Blue-banded Kingfisher,Coraciiformes,Alcedinidae,CR,9.73351134082734,2.21419975453308,10.2191198092089,2.1801937530739,0.968854859408465,0.0594491204937018,10.218634747153,0.993,1,1000,direct,Alcedo_euryzona,False,False,,,
36,1048,Podiceps_gallardoi,Hooded Grebe,Podicipediformes,Podicipedidae,CR,9.35667249694595,6.42923312903461,9.7292562270116,6.82642940397451,0.970945315981455,0.0579123830607127,9.5347102519359,0.913,1,1000,direct,Podiceps_gallardoi,False,False,,,
37,25,Vultur_gryphus,Andean Condor,Accipitriformes,Cathartidae,VU,9.26610479840765,4.6802808990747,39.209245307654,14.8044435293776,0.245486059622992,0.0805096154064454,39.206014829745,1.0,1,1000,direct,Vultur_gryphus,False,False,,,
38,236,Xenoperdix_udzungwensis,Udzungwa Forest-partridge,Galliformes,Phasianidae,EN,9.00482201622412,6.14645114497414,19.123592875,8.3306971,0.477621450477274,0.282682236150283,17.9811987021272,0.999,1,1000,direct,Xenoperdix_udzungwensis,False,False,,,
39,274,Otis_tarda,Great Bustard,Otidiformes,Otididae,EN,8.74362431733,5.18314170960297,17.7550807465282,4.84557583546225,0.493784643369189,0.297192636036807,14.360242142288,1.0,1,1000,direct,Otis_tarda,True,True,exact,Otis_tarda,GCA_987201465.1
