EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
71,41,Eopsaltria_flaviventris,,Passeriformes,Petroicidae,NM,6.33357968797421,20.7119845048358,34.1950142,5.6409895175,0.187308601474219,0.637772154400839,33.9149711558743,0.0,0,1000,no_RedList_match,,False,False,,,
127,147,Certhionyx_niger,,Passeriformes,Meliphagidae,NM,4.3422646272717,12.7359377710069,23.77317289,4.8311798125,0.183433230574427,0.573405700567078,23.713878675984,0.0,0,1000,no_RedList_match,,False,False,,,
125,151,Phaenicophaeus_calyorhynchus,,Cuculiformes,Cuculidae,NM,4.4293461143162,12.7247113489216,23.5639497240595,4.61995737374269,0.181310063049601,0.570565181929432,23.73600769085,0.0,0,1000,no_RedList_match,,False,False,,,
249,319,Phodilus_prigoginei,,Strigiformes,Tytonidae,DD,2.8206067980001,7.00015744489895,16.735275078936,19.3045826652577,0.169105439780076,0.532662924780621,17.1708454440941,0.0,0,1000,GBIF_iucn_link,Phodilus_prigoginei,False,False,,,
271,376,Pitta_phayrei,,Passeriformes,Pittidae,NM,2.67612035477162,6.74777575939126,15.4826681302674,4.68080211253857,0.181579758791239,0.556039525153798,14.4168277391051,0.0,0,1000,no_RedList_match,,False,False,,,
272,476,Bernieria_tenebrosa,,Passeriformes,Sylviidae,NM,2.66512610126107,8.35158721861422,14.1863401354845,2.70392171800371,0.1847344135563,0.625556172118535,14.20872515113,0.0,0,1000,no_RedList_match,,False,False,,,
473,514,Collocalia_papuensis,Papuan Swiftlet,Apodiformes,Apodidae,DD,1.7653740514113,4.56711966394027,13.674415530673,11.4803106430757,0.164611655022202,0.477124769077447,11.4783026250054,0.0,0,1000,GBIF_accepted,Aerodramus_papuensis,False,False,,,
398,591,Coracina_cinerea,,Passeriformes,Campephagidae,NM,2.01948270599437,5.34603938174802,12.8464987779518,3.80742972418898,0.168804327640178,0.553435684837215,12.119454647983,0.0,0,1000,no_RedList_match,,False,False,,,
287,645,Ptilogonys_cinereus,,Passeriformes,Bombycillidae,NM,2.5787072806475,7.54559461603512,12.3507670387977,8.79282058729185,0.182049713057435,0.663667323935985,8.4615964516061,0.0,0,1000,no_RedList_match,,False,False,,,
276,649,Ptilogonys_caudatus,,Passeriformes,Bombycillidae,NM,2.62972172160228,7.09377203281713,12.3094394556687,8.82269954361813,0.182049713057435,0.65690920172947,8.4615964516061,0.0,0,1000,no_RedList_match,,False,False,,,
362,707,Myrmeciza_exsul,,Passeriformes,Thamnophilidae,NM,2.1382665515371,5.83712640911964,11.8897045332285,2.1579292268893,0.176671916695783,0.553276999682585,11.770692612029,0.0,0,1000,no_RedList_match,,False,False,,,
399,746,Hodgsonius_phaenicuroides,,Passeriformes,Muscicapidae,NM,2.01898637803122,5.88069769562568,11.5776855707085,2.67619348417264,0.166193890040608,0.543415811996824,11.701221953586,0.0,0,1000,no_RedList_match,,False,False,,,
449,778,Parus_rufiventris,,Passeriformes,Paridae,NM,1.84118766544514,4.75875915989359,11.3491270875529,3.29089376374307,0.182932911459228,0.606724087618019,10.361332065783,0.0,0,1000,no_RedList_match,,False,False,,,
444,843,Cuculus_fugax,,Cuculiformes,Cuculidae,NM,1.86996892458251,5.41846350762835,10.9036949452717,3.41508844349727,0.174192322965876,0.538355991595298,10.6350898887248,0.0,0,1000,no_RedList_match,,False,False,,,
499,855,Mesophoyx_intermedia,,Pelecaniformes,Ardeidae,NM,1.69035888385765,4.10614692297859,10.8050339838912,5.82993953340349,0.175019286821306,0.490567754732345,9.57737280760909,0.0,0,1000,no_RedList_match,,False,False,,,
