EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
185,4998,Dicaeum_quadricolor,Cebu Flowerpecker,Passeriformes,Dicaeidae,CR,3.30597176627678,4.71763814333205,3.45876542654587,5.0111900923474,0.969246965873007,0.0677753847051993,4.47391609566668,0.497,0,1000,direct,Dicaeum_quadricolor,False,False,,,
190,5025,Pterodroma_magentae,Magenta Petrel,Procellariiformes,Procellariidae,CR,3.26364967124685,1.15141680129288,3.44227413586857,1.2441554572573,0.973197759666867,0.0550464865303354,3.28841436435027,0.48,0,1000,direct,Pterodroma_magentae,False,False,,,
192,5133,Phylloscartes_ceciliae,Alagoas Tyrannulet,Passeriformes,Tyrannidae,CR,3.23299335983682,4.5756877248553,3.36296027306362,4.84461897223308,0.968881449082624,0.0685260999480989,4.22006233521245,0.489,0,1000,direct,Phylloscartes_ceciliae,False,False,,,
196,5162,Pterodroma_phaeopygia,Galapagos Petrel,Procellariiformes,Procellariidae,CR,3.19821408545048,1.2208055449907,3.3500447271322,1.25412779955863,0.972689773964604,0.0563916346587591,2.37553900049961,0.458,0,1000,direct,Pterodroma_phaeopygia,False,False,,,
198,5193,Pomarea_whitneyi,Fatu Hiva Monarch,Passeriformes,Monarchidae,CR,3.18626539532349,0.99035753583749,3.33141019440752,1.00723929576096,0.971755767316864,0.0573521854750084,1.8955822573576,0.427,0,1000,direct,Pomarea_whitneyi,False,False,,,
200,5208,Pomarea_iphis,Iphis Monarch,Passeriformes,Monarchidae,CR,3.18055889701401,1.01879289007805,3.32413282879152,1.03528646774485,0.971755767316864,0.0575084823733363,1.8901623297593,0.425,0,1000,direct,Pomarea_iphis,False,False,,,
203,5302,Eriocnemis_isabellae,Gorgeted Puffleg,Apodiformes,Trochilidae,CR,3.16031179801868,3.30291596238353,3.27141035062542,3.43770679434848,0.971901297954209,0.0605211804900665,3.09658978153427,0.467,0,1000,direct,Eriocnemis_isabellae,False,False,,,
206,5253,Gallicolumba_menagei,Sulu Bleeding-heart,Columbiformes,Columbidae,CR,3.13578100217199,4.27043947542649,3.29554736597773,4.54623346308154,0.970316017099811,0.0589584145268199,4.36734552595305,0.476,0,1000,direct,Gallicolumba_menagei,False,False,,,
208,5196,Cyornis_ruckii,Rück's Blue Flycatcher,Passeriformes,Muscicapidae,CR,3.12077930270236,2.90766594236178,3.32932801749298,3.04152751375312,0.967744721841013,0.0646355007833982,3.3251725867962,0.473,0,1000,direct,Cyornis_ruckii,False,False,,,
216,5395,Neospiza_concolor,Sao Tome Grosbeak,Passeriformes,Fringillidae,CR,3.07228326319823,4.17422298252641,3.21652644706017,4.35972603064557,0.968707924724582,0.0603501420271685,4.25476206693874,0.464,0,1000,GBIF_accepted,Crithagra_concolor,False,False,,,
217,5389,Crax_alberti,Blue-billed Curassow,Galliformes,Cracidae,CR,3.06422069739817,0.781895553338747,3.22053324323879,0.778240313577559,0.968862607920936,0.0615070731007477,3.267972358311,0.361,0,1000,direct,Crax_alberti,False,False,,,
221,5363,Cissa_thalassina,Javan Green Magpie,Passeriformes,Corvidae,CR,3.04188234815792,4.63516966840379,3.23784334274629,4.90165836597518,0.971380247598402,0.0570785653082051,3.95300844381463,0.468,0,1000,direct,Cissa_thalassina,False,False,,,
222,5553,Ara_ambiguus,Great Green Macaw,Psittaciformes,Psittacidae,CR,3.02763150390541,4.02066648782361,3.120128653441,4.23996528250927,0.970647200716474,0.0600692192571251,2.70965711228732,0.468,0,1000,direct,Ara_ambiguus,False,False,,,
223,5547,Phalacrocorax_onslowi,Chatham Islands Shag,Suliformes,Phalacrocoracidae,CR,3.02434019023934,4.37784743251555,3.12437987187295,4.62619722832081,0.971552257250658,0.0585501916295448,4.01900882198139,0.47,0,1000,GBIF_accepted,Leucocarbo_onslowi,False,False,,,
225,5390,Ptilinopus_huttoni,Rapa Fruit-dove,Columbiformes,Columbidae,CR,3.02035009791912,3.90407097721647,3.21972473745122,4.15102249795923,0.97072151631768,0.0621760103214096,3.6888753880267,0.465,0,1000,direct,Ptilinopus_huttoni,False,False,,,
227,5516,Loxops_caeruleirostris,Akekee,Passeriformes,Fringillidae,CR,2.99014244569787,1.10951365004501,3.14488254311851,1.1164644902717,0.968038729462749,0.0604781603693011,1.7738854667219,0.358,0,1000,direct,Loxops_caeruleirostris,False,False,,,
228,5498,Pterodroma_caribbaea,Jamaican Petrel,Procellariiformes,Procellariidae,CR,2.98220342710096,3.6613210266213,3.15073925016337,3.79697094065774,0.972915769559158,0.0552676265606227,3.90204800893093,0.455,0,1000,direct,Pterodroma_caribbaea,False,False,,,
229,5519,Puffinus_auricularis,Townsend's Shearwater,Procellariiformes,Procellariidae,CR,2.95820329559216,4.28160815759807,3.14052187692203,4.48292785332739,0.972304733812393,0.0568387340438522,3.30738687251022,0.464,0,1000,direct,Puffinus_auricularis,False,False,,,
230,5582,Lophura_erythrophthalma,Malay Crestless Fireback,Galliformes,Phasianidae,CR,2.95366496683394,1.33439551838386,3.10350253463196,1.39074964002273,0.967518866204957,0.0637844103757803,3.19319632271277,0.365,0,1000,direct,Lophura_erythrophthalma,False,False,,,
231,5555,Diomedea_dabbenena,Tristan Albatross,Procellariiformes,Diomedeidae,CR,2.94602820916523,1.14444241448777,3.11953704914792,1.20570948799973,0.972377786268484,0.0555131405010192,1.7410846188305,0.35,0,1000,direct,Diomedea_dabbenena,False,False,,,
236,5677,Thryothorus_nicefori,Niceforo's Wren,Passeriformes,Troglodytidae,CR,2.90468537390592,3.35594056698763,3.04587968828557,3.60135090538577,0.969869324177582,0.0608633900300917,3.47139812338513,0.463,0,1000,GBIF_accepted,Thryophilus_nicefori,False,False,,,
239,5649,Todiramphus_godeffroyi,Marquesas Kingfisher,Coraciiformes,Alcedinidae,CR,2.89455046752173,3.66861598549058,3.06232238401232,3.79947402378645,0.968166375934566,0.0584657153085084,3.43566909141752,0.454,0,1000,direct,Todiramphus_godeffroyi,False,False,,,
241,5692,Ara_rubrogenys,Red-fronted Macaw,Psittaciformes,Psittacidae,CR,2.85581884955324,3.45757706264017,3.03752664553176,3.6999439123458,0.97072485198955,0.0599725903473667,2.82602239709478,0.436,0,1000,direct,Ara_rubrogenys,False,False,,,
250,5836,Lipaugus_weberi,Chestnut-capped Piha,Passeriformes,Cotingidae,CR,2.8136410419427,3.52664336072247,2.95955353593521,3.71704624962944,0.970903392170865,0.0550480560424589,3.34662004566826,0.432,0,1000,direct,Lipaugus_weberi,False,False,,,
254,5878,Charmosyna_amabilis,Red-throated Lorikeet,Psittaciformes,Psittacidae,CR,2.754920942266,2.97770942655185,2.93885445908043,3.18201018069686,0.972161276023024,0.0536546586935844,3.24803482261275,0.411,0,1000,direct,Charmosyna_amabilis,False,False,,,
256,6059,Prioniturus_verticalis,Sulu Racquet-tail,Psittaciformes,Psittacidae,CR,2.7364669915049,3.59056774691242,2.8409584480613,3.82257956547099,0.972093450741895,0.0587095396206728,3.52321058073372,0.429,0,1000,direct,Prioniturus_verticalis,False,False,,,
260,5992,Campylopterus_phainopeplus,Santa Marta Sabrewing,Apodiformes,Trochilidae,CR,2.72797678540384,3.13912393249916,2.87815456195905,3.32721493621461,0.972218364759189,0.0580070869408953,3.11096346551411,0.4,0,1000,direct,Campylopterus_phainopeplus,False,False,,,
