tree,PD,ePDloss
1,83419.8955058879,5460.86940067141
2,85102.3173055295,5601.71824231555
3,85356.8095585115,5730.25647444677
4,85885.5536189901,5637.63117356173
5,98910.7065079674,6575.12270150621
6,84785.03634536,5645.7173841701
7,82280.1750753732,5612.06013126178
8,88512.7228809304,5989.4686451997
9,79240.1409167444,5389.52219384776
10,89221.621479387,5927.53070022499
11,84862.951482667,5654.03501537272
12,94215.1120030915,6286.79998710276
13,79646.837405901,5451.81680813198
14,78914.648816879,5337.91532176446
15,78653.2268662008,5243.45912838001
16,76706.1517767192,5208.83619258067
17,82019.7356536043,5452.49383623891
18,79415.9865459613,5468.81289195425
19,84613.3708479414,5709.78275320841
20,88874.9677346386,5934.88955299623
21,85966.2210457589,5824.8981750594
22,87934.5810224212,5910.39801266912
23,74087.9157173463,5053.72602007594
24,83600.1022761661,5679.43700914415
25,88439.8960898135,5901.67123440226
26,81454.4076418713,5592.71694433742
27,82024.438328965,5653.57067970045
28,89408.4072229583,5929.34751159221
29,82181.5955489566,5589.0908481841
30,81528.0242106036,5586.09617234494
31,80197.3546960803,5323.84329852073
32,84809.234167977,5705.35645950033
33,85477.1608414836,5753.78919752322
34,83620.8924266017,5616.11390116109
35,83263.9074537662,5642.24526291264
36,94177.1844683372,6488.28469924827
37,82316.2996375799,5459.20682812719
38,81436.3358784365,5518.7828247626
39,81951.7351866476,5524.98418959585
40,83980.0761106006,5652.06920970526
41,87529.6005837517,5829.0824022014
42,79945.9304948597,5385.77955371002
43,77973.4331403448,5297.89998210406
44,84318.0294216473,5753.44463396494
45,81777.8548625577,5476.2762255552
46,90384.6396733459,6156.28020348334
47,79275.4986710203,5318.54295482361
48,78259.6536484634,5263.03388454829
49,86337.4514109628,5749.69072357559
50,91646.9088886187,6168.5232007453
51,91991.6573076117,6338.60672085211
52,83837.677022324,5655.10636853571
53,88918.8006198224,6010.69606966619
54,78595.3830919856,5215.75461531922
55,88977.7286141729,5994.71157740386
56,81505.510178648,5550.92675497158
57,87059.9263769716,5949.96513252758
58,86739.5835980562,5681.39057827295
59,79097.5082475903,5471.92290901836
60,79225.6805658054,5375.68927996426
61,89136.3103550433,5936.29245376216
62,96082.8096674419,6502.09532682233
63,82308.9590225859,5620.95442582961
64,80478.6705942583,5374.93910546819
65,86746.1441514682,5913.37763661572
66,82052.301319252,5616.72546119482
67,90003.4439023523,6210.18069371693
68,89463.1271249677,5934.57092501028
69,80899.1122626181,5517.37992199118
70,81709.7127270381,5477.10113161663
71,85006.7671424912,5708.25014760106
72,87615.0031223718,5760.52093152129
73,80322.6437652804,5569.78744796282
74,86228.4161621304,5693.05578146481
75,83875.6327552537,5628.42803397527
76,92587.3654365379,6269.45244900484
77,85990.0190122393,5723.63192766874
78,87049.5144792786,5825.87188384921
79,86909.4330891884,5872.49372493005
80,85315.1113041113,5594.88964498291
81,81638.8443006953,5313.65454513268
82,82348.3891565764,5501.56149639705
83,86735.1230274421,5746.54615131289
84,85351.8204458736,5784.31511099422
85,85373.8584470426,5693.40621085272
86,88053.8374608628,5920.80166081877
87,82951.8060474814,5593.62478646319
88,84328.2806230496,5660.09909597692
89,82510.4588366617,5554.90712043687
90,86978.5824632182,5847.88781681419
91,78848.8320323986,5421.66365365439
92,89390.0870823109,6012.96093337761
93,83630.8639815815,5500.64345788762
94,82316.1597925317,5544.30349075471
95,87468.5567528092,5830.30647397008
96,81114.2530481115,5521.77819241027
97,82125.8280562734,5467.17824430148
98,80893.6446053684,5374.89754407689
99,84826.2069694779,5669.84800799774
100,93634.2471785082,6200.44696423891
101,84449.2855859739,5634.88749428104
102,86413.3355888017,5799.14515741536
103,89275.3107516708,5950.57215787387
104,79685.8327981228,5378.52713274981
105,77754.6958211315,5306.47214432953
106,80649.7804650582,5535.46527344965
107,83865.2300520775,5682.57947536034
108,83791.2595139545,5705.74043503296
109,78603.3951940218,5225.61516550561
110,79001.2906323038,5273.25582237118
111,83976.3433075116,5548.8295913781
112,81047.3425455384,5523.31517377559
113,83223.6830167301,5655.27483204835
114,83687.8894837702,5600.7230970106
115,79994.1556986725,5421.89528984851
116,85233.1134493902,5765.4570630308
117,87806.3645356182,5776.76572843716
118,86331.7453665029,5630.29309203854
119,83776.1855131887,5549.15151238795
120,83240.2288707901,5719.77077028268
121,77537.3999203092,5203.92056832043
122,83204.6053744229,5619.82689894568
123,85209.903672692,5784.22401235927
124,88838.8224999825,6153.85056658152
125,89948.7655666516,6043.36145040923
126,80229.8933715697,5534.06358006799
127,85100.6863560259,5777.59605989511
128,81932.609805598,5513.38270934093
129,81056.2291351025,5530.00635753627
130,79572.8446786997,5358.50037805091
131,80622.6111115092,5296.56334380826
132,83958.5263524467,5718.66475964475
133,80824.7252457044,5543.34040985304
134,85199.1042836104,5768.73275547119
135,91153.6409125448,6199.6630368064
136,83319.7249223844,5459.39492942381
137,85526.5281234916,5788.71641491862
138,87921.5267945187,5787.28229110577
139,85404.2448555078,5711.54236406126
140,84399.4295505993,5687.27774876446
141,89056.0153235649,5983.30554426069
142,87596.9604947834,5868.18631810016
143,87616.7523963018,5870.86077673228
144,87096.1632585838,5787.75901115393
145,82481.2622255622,5527.38658387077
146,82912.6544657618,5617.00304452035
147,76325.093004852,5102.7941805556
148,82358.1723664902,5417.99431256111
149,81558.1890223915,5399.41128658762
150,78458.9210708399,5314.17901740382
151,79909.6870595637,5316.30407898519
152,76548.9671118912,5026.47396889824
153,83780.5714065925,5698.63499705571
154,83307.4962726247,5630.76928745469
155,78721.308395446,5112.31638423682
156,91053.3510838172,6068.21683909815
157,88771.4611437238,6036.55561863695
158,84711.740908167,5815.16158165379
159,85180.8253769086,5876.02158745351
160,87187.4589075607,5707.21719938731
161,81187.6043289263,5487.0775832945
162,89497.9098512738,6050.25503438049
163,87493.3825718676,5886.38977620168
164,82782.7582084231,5551.24818217593
165,78584.1820930963,5232.45715663547
166,85871.9052233486,5756.73501649587
167,80033.6273868467,5425.2329363631
168,82679.3575689743,5450.46415347227
169,91100.2525070723,6148.62394726006
170,87436.6248928525,5856.2409074425
171,88313.6342480645,5863.72266816208
172,80075.2960132357,5507.41719900091
173,89342.2055089138,6119.33852959484
174,81137.3506012849,5409.3278045799
175,81329.2216924646,5433.75075892446
176,80279.9525415674,5225.58398925846
177,90759.8554147219,6260.85397697402
178,81792.8535672493,5522.08582925614
179,80645.3532154431,5502.85065498587
180,84340.57053518,5773.91243180436
181,80870.4054656167,5387.62535666625
182,82554.5145132751,5619.31087674816
183,86103.190607479,5935.64201493843
184,82954.3180810644,5553.69850797198
185,83447.1123829215,5647.32324334869
186,81506.8800809387,5435.2886441327
187,84319.0861319511,5637.82671094364
188,80739.9631472379,5510.38168939661
189,93813.571127959,6257.13019130026
190,75169.0775758361,5119.62259183239
191,86215.5233670483,5772.5424647857
192,80284.8492638375,5396.19866418849
193,79670.8652652313,5317.96271911382
194,79139.7543234726,5345.15605784009
195,91753.8962823193,6055.74304095059
196,85270.966112453,5702.65329639448
197,78623.5878367799,5369.86751652231
198,83269.9833378868,5489.12332015787
199,79851.2906137323,5485.41978661222
200,87897.8609838124,5864.32577750776
201,87899.4186927659,5836.72476785875
202,86541.499487069,5667.70985265562
203,85151.808021821,5707.71191516143
204,94829.7729200498,6409.78455814786
205,86505.7194617664,5694.20438648333
206,80740.9804728612,5465.79634938158
207,85251.7996671442,5744.26719252032
208,86308.8766801689,5696.20568059187
209,78958.017970171,5336.79899407339
210,77936.6270627037,5307.95835445321
211,86872.0474954487,5837.46328434809
212,81603.480824475,5487.40241493224
