order,n_species,n_EDGE,median_EDGE2,n_vgp_genome,n_EDGE_with_genome,pct_EDGE
Passeriformes,5966,178,0.183747126448325,94,0.0,2.9835735836406303
Accipitriformes,251,38,0.301293949691392,11,1.0,15.139442231075698
Psittaciformes,354,37,0.24792660556628698,8,3.0,10.451977401129943
Charadriiformes,369,35,0.288254389821835,24,1.0,9.48509485094851
Procellariiformes,128,35,0.8097490881578391,2,0.0,27.34375
Gruiformes,156,29,0.2798836451351535,7,2.0,18.58974358974359
Columbiformes,306,28,0.20766437979421848,9,1.0,9.15032679738562
Galliformes,288,25,0.185821854236005,7,0.0,8.680555555555555
Bucerotiformes,66,22,0.55737433384722,1,1.0,33.333333333333336
Pelecaniformes,106,16,0.5895133540062765,5,0.0,15.09433962264151
Cuculiformes,142,13,0.404625231536487,1,0.0,9.154929577464788
Strigiformes,206,11,0.254923202913869,4,1.0,5.339805825242719
Suliformes,52,10,0.365509295176991,3,0.0,19.23076923076923
Apodiformes,450,7,0.2050675954672325,7,0.0,1.5555555555555556
Caprimulgiformes,114,6,0.42158388487756104,4,0.0,5.2631578947368425
Tinamiformes,47,6,0.559816795432067,1,0.0,12.76595744680851
Otidiformes,25,6,0.5939423763213,2,2.0,24.0
Anseriformes,160,5,0.1020942026659015,27,1.0,3.125
Coraciiformes,151,5,0.246625102623084,2,0.0,3.3112582781456954
Podicipediformes,19,5,0.758489230793764,2,0.0,26.31578947368421
Mesitornithiformes,3,3,3.52690724168514,0,0.0,100.0
Trogoniformes,43,2,0.434131205708652,1,0.0,4.651162790697675
Piciformes,414,2,0.156470560175224,3,0.0,0.4830917874396135
Ciconiiformes,19,2,0.84499665195674,2,0.0,10.526315789473685
Sphenisciformes,18,2,0.6561003103402255,2,0.0,11.11111111111111
Falconiformes,64,1,0.247162622062709,7,0.0,1.5625
Phoenicopteriformes,6,1,1.0320314725220934,1,0.0,16.666666666666668
Eurypygiformes,2,1,11.1493630445135,1,1.0,50.0
Rheiformes,2,0,1.0934119326872804,1,0.0,0.0
Apterygiformes,4,0,0.7168793994456866,1,0.0,0.0
Cariamiformes,2,0,1.27631087618805,1,0.0,0.0
Struthioniformes,1,0,2.5812153819953,1,0.0,0.0
Casuariiformes,4,0,0.2097310181921745,1,0.0,0.0
Musophagiformes,23,0,0.810446138870442,1,0.0,0.0
Pteroclidiformes,16,0,0.5261914637811831,1,0.0,0.0
Opisthocomiformes,1,0,3.43960563327548,1,0.0,0.0
Phaethontiformes,3,0,0.504063894896527,1,0.0,0.0
Gaviiformes,5,0,0.568240962724905,1,0.0,0.0
Leptosomiformes,1,0,3.98843147670411,1,0.0,0.0
Coliiformes,6,0,1.3062661583309074,1,0.0,0.0
