tree,PD,ePDloss
1,36490.9020255378,5639.97177808131
2,35865.230571481,5570.74412370065
3,36825.9250982424,5595.76747690047
4,36343.1329076484,5593.36054412429
5,27309.8496267687,3650.4472496677
6,27181.3589410337,3845.15581550251
7,35867.3898004892,5440.92478730989
8,36607.2778564043,5552.66463608967
9,37425.8229983342,6101.74089886587
10,36399.3808318701,5252.74873905159
11,36273.5783675782,5406.05718439905
12,37010.1478407088,5633.47335886681
13,26806.3083739327,3919.74908951314
14,27770.3826194703,3904.84241725425
15,36652.0031869548,5803.01016375407
16,36840.948617522,5626.94769760273
17,27354.7366680843,3762.36005003749
18,26644.6779161569,3904.67927417969
19,27206.7251130286,3787.71566880349
20,26497.0057407218,3664.68981785444
21,27514.4191265779,3998.75834568936
22,26891.2882407816,3790.80067604534
23,36922.5122045631,5457.41734557042
24,36995.4278402451,5939.88185137434
25,27640.1517094905,4010.47819682788
26,27547.1176816245,4129.42837232172
27,37875.9806410547,5308.54876931719
28,38701.9096583959,6073.94932359269
29,27470.9428555122,3847.92665216196
30,27834.3119404418,3900.53968739421
31,37148.7138017588,5528.59462822797
32,38164.093238729,5998.46408942139
33,27080.9734368526,3802.38600647283
34,26568.9391103576,3831.35881742235
35,38857.1218805239,6140.57450877852
36,38763.1664086752,5931.6682618654
37,27185.4235489913,3834.68030629558
38,27516.9369581892,3852.33565361731
39,28178.6346362926,3940.46755053072
40,27527.7043024902,4185.07354946589
41,36137.6590243215,5311.03043836525
42,36790.3890704324,5714.32703975339
43,27373.3965206505,3907.96120404463
44,27302.3406682232,3913.1268009694
45,28052.3537497176,3818.22973101519
46,27443.5787278171,3809.52447951124
47,37316.5139638946,5504.87695324751
48,35829.8513593991,5394.23506435371
49,28255.5616502293,3924.83411355059
50,27644.3962357047,3839.87950361733
51,37932.5092396411,5674.42717857093
52,38538.4214622621,5654.4128204025
53,36173.5007967312,5065.07053261644
54,36405.6091640304,5627.01733304578
55,27465.6040624509,3805.73780488634
56,28011.0867124052,3938.35753643135
57,37934.6499435457,5506.84710665202
58,36767.9660280041,5642.14564159256
59,38196.2200401575,5813.81351000299
60,38990.3277900953,6352.12069430766
61,38934.8960652406,6015.75257991852
62,37974.55685572,5661.50745501711
63,38190.8013184431,5887.73377252622
64,37363.6497227796,5834.34423138879
65,37199.7567133737,5544.68909401795
66,37556.2125395316,5759.33538219922
67,26971.2225626835,3898.20745303927
68,27368.1003713532,4136.87197195645
69,38662.808669455,6306.90600218579
70,38231.9338859614,6269.02174377276
71,37117.0585706315,5445.68965899691
72,37682.3331868189,5790.08985477524
73,27059.4082295919,3704.28601433055
74,27435.2336262941,3912.95330209148
75,38075.2049351877,5886.30781971465
76,37446.6910532688,5527.6959490394
77,38343.982881638,5870.75547740916
78,37851.3549365145,5630.85112658965
79,37411.1757887725,5588.96941456904
80,37297.2494399688,5640.5258295427
81,37420.5765381484,5802.80122346303
82,36495.9592816294,5536.17373389502
83,26662.9706139884,3824.17982380446
84,27272.9778700612,3964.6818570231
85,37521.100901858,5878.00789328181
86,36752.6290348833,5768.94558804228
87,38114.8221079822,5916.81180974009
88,37613.7834692476,5703.87341339785
89,37425.4443110406,5883.02758017018
90,37137.3502646261,5870.78857994288
91,27313.2743286232,3811.54560213816
92,27404.7190147154,3891.6449923023
93,37940.9220181684,5800.73792125591
94,36718.0066063424,5355.92235014304
95,26815.1152730384,3813.19356147882
96,27160.641985203,3960.39492511206
97,38373.2895693155,5850.97889619145
98,37537.6678196347,5384.26090901813
99,38011.8581527868,5855.73025712758
100,37931.1656361236,5775.4382238751
101,27814.8713130616,3961.20381001493
