order,n_species,n_EDGE,median_EDGE2,n_vgp_genome,n_EDGE_with_genome,pct_EDGE
Myliobatiformes,214,81,3.05909205719013,5,3.0,37.850467289719624
Carcharhiniformes,281,63,1.54715452122796,4,1.0,22.419928825622776
Rhinopristiformes,58,40,15.53565293164545,2,2.0,68.96551724137932
Squaliformes,123,19,1.1024963737145,3,0.0,15.447154471544716
Torpediniformes,73,14,2.12730704324898,2,0.0,19.17808219178082
Rajiformes,293,12,0.547513727049021,8,0.0,4.09556313993174
Squatiniformes,20,11,10.455273433136915,0,0.0,55.0
Orectolobiformes,42,10,1.978309756221445,3,1.0,23.80952380952381
Lamniformes,15,9,9.63814499414854,3,3.0,60.0
Chimaeriformes,49,2,0.566142532396701,1,0.0,4.081632653061225
Hexanchiformes,7,1,1.22775895825104,1,0.0,14.285714285714286
Unassigned,1,1,4.3481517029828,0,0.0,100.0
Heterodontiformes,9,0,0.661928129990096,1,0.0,0.0
Pristiophoriformes,7,0,1.227435080901,1,0.0,0.0
