EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
1,23,Burramys_parvus,Mountain Pygmy Possum,Diprotodontia,Burramyidae,CR,24.4288352768582,4.26718653068784,25.8333946417601,4.4678316146383,0.969017552722647,0.0652740733396005,25.89502436858,1.0,1,1000,direct,Burramys_parvus,False,False,,,
2,5,Daubentonia_madagascariensis,Aye-aye,Primates,Daubentoniidae,EN,20.0411644184954,11.4326095717708,40.23966447,7.9875085525,0.485787927334518,0.286754805576868,41.0324468814,1.0,1,1000,direct,Daubentonia_madagascariensis,False,False,,,
3,41,Gymnobelideus_leadbeateri,Leadbeater's Possum,Diprotodontia,Petauridae,CR,19.5534365482907,3.32273151644772,20.5618230155105,3.18905435670835,0.967575510453126,0.0662981227538091,20.67481468046,1.0,1,1000,direct,Gymnobelideus_leadbeateri,False,False,,,
4,74,Manis_culionensis,Philippine Pangolin,Pholidota,Manidae,CR,14.6581245137164,6.815360992831,15.4652165650052,6.98224323941927,0.970356921865497,0.0643093832084664,6.59108618365414,1.0,1,1000,direct,Manis_culionensis,False,False,,,
5,76,Desmana_moschata,Russian Desman,Eulipotyphla,Talpidae,CR,14.3347338126028,4.56312341146115,15.1524298913282,4.68006525442127,0.968126321131184,0.0631341423864674,12.533966043835,1.0,1,1000,direct,Desmana_moschata,False,False,,,
6,83,Manis_pentadactyla,Chinese Pangolin,Pholidota,Manidae,CR,14.0883040683408,6.72181923380776,14.8708020312785,7.03787875341508,0.970255103189162,0.0643691045698731,0.868426868798592,1.0,1,1000,direct,Manis_pentadactyla,True,True,exact,Manis_pentadactyla,GCA_030020395.1
7,84,Manis_javanica,Sunda Pangolin,Pholidota,Manidae,CR,14.0615461283675,6.70840507750734,14.8577748366556,6.58094696303503,0.970255103189162,0.0643103644654012,0.853712047122,1.0,1,1000,direct,Manis_javanica,False,False,,,
8,92,Hydrodamalis_gigas,Steller's Sea Cow,Sirenia,Dugongidae,EX,13.5226904480663,5.2452458696675,14.1559180874686,5.41284202909809,0.966911057167071,0.0652397377367309,14.548775709549,1.0,0,1000,direct,Hydrodamalis_gigas,False,False,,,
9,114,Varecia_variegata,Black-and-white Ruffed Lemur,Primates,Lemuridae,CR,12.0680147972203,2.80016900856675,12.6348710165972,2.68344045611888,0.970140448847516,0.0600388275090146,0.9384068616351,1.0,1,1000,direct,Varecia_variegata,False,False,,,
10,115,Varecia_rubra,Red Ruffed Lemur,Primates,Lemuridae,CR,12.0536721476995,2.77098000311766,12.6173093348197,2.66854049082393,0.970168698415343,0.0598034797959762,0.9384068616351,1.0,1,1000,direct,Varecia_rubra,False,False,,,
11,124,Nesophontes_zamicrus,Haitian Nesophontes,Eulipotyphla,Nesophontidae,EX,11.697758902624,9.24288984872096,12.2598325697117,9.59108859070434,0.971480630924533,0.0587008602226026,2.10158515641763,0.999,0,1000,direct,Nesophontes_zamicrus,False,False,,,
12,129,Nesophontes_hypomicrus,Atalaye Nesophontes,Eulipotyphla,Nesophontidae,EX,11.646584183579,9.16853429960072,12.159104001134,9.62765497963281,0.972169861077079,0.0587085092776561,2.06843726299326,0.999,0,1000,direct,Nesophontes_hypomicrus,False,False,,,
13,130,Nesophontes_major,,Eulipotyphla,Nesophontidae,EX,11.6329312238063,9.15359894702807,12.1522270215467,9.52091622801568,0.971665168941719,0.0585878880043718,1.98866988744542,0.999,0,1000,direct,Nesophontes_major,False,False,,,
14,127,Nesophontes_edithae,Edith's Island-shrew,Eulipotyphla,Nesophontidae,EX,11.6198477449682,9.23859128714618,12.2015035424325,9.33692305396784,0.971901297954209,0.05876937100762,2.10880363085917,0.999,0,1000,direct,Nesophontes_edithae,False,False,,,
15,131,Nesophontes_micrus,Western Cuban Nesophontes,Eulipotyphla,Nesophontidae,EX,11.6063433444986,9.29274541801911,12.0586206646506,9.66067476552813,0.972057094636579,0.0586359677807056,2.0411130920168,0.999,0,1000,direct,Nesophontes_micrus,False,False,,,
16,128,Nesophontes_paramicrus,St. Michel Nesophontes,Eulipotyphla,Nesophontidae,EX,11.5907267530676,9.21776938634641,12.165445441141,9.8141209138029,0.972057094636579,0.0587085092776561,2.09919951152221,0.998,0,1000,direct,Nesophontes_paramicrus,False,False,,,
17,136,Palaeopropithecus_ingens,Large Sloth Lemur,Primates,Palaeopropithecidae,EX,11.3327497466917,3.02211867009093,11.9005888225414,3.10328735349456,0.970168698415343,0.0592863115158967,11.773176453362,1.0,0,1000,direct,Palaeopropithecus_ingens,False,False,,,
18,26,Solisorex_pearsoni,Pearson's Long-clawed Shrew,Eulipotyphla,Soricidae,EN,11.2957921534854,7.42838271936586,24.83131725,5.693875665,0.485332410029096,0.281547552060227,22.5141185617028,0.984,1,1000,direct,Solisorex_pearsoni,False,False,,,
19,135,Thylacinus_cynocephalus,Thylacine,Dasyuromorphia,Thylacinidae,EX,11.2100902056409,10.4458801734839,11.9227872509993,11.1110710762291,0.969155670035643,0.064877221946645,11.6944638247126,1.0,0,1000,direct,Thylacinus_cynocephalus,False,False,,,
20,166,Indri_indri,Indri,Primates,Indriidae,CR,10.4777834411613,2.33945298898505,10.9761721077651,2.43606539800417,0.969992492781841,0.0587467320169043,11.271215715527,1.0,1,1000,direct,Indri_indri,False,False,,,
21,40,Manis_crassicaudata,Indian Pangolin,Pholidota,Manidae,EN,10.3772075128562,6.00861962378723,20.9331033808997,5.72342486718311,0.487398791112181,0.294179283478246,6.80566695792007,1.0,1,1000,direct,Manis_crassicaudata,False,False,,,
22,168,Hypogeomys_antimena,Malagasy Giant Jumping Rat,Rodentia,Nesomyidae,CR,10.3008976882293,3.0549797311084,10.8597365120737,2.96045607445083,0.969031333205242,0.0609183163912893,9.72751231063368,0.984,1,1000,direct,Hypogeomys_antimena,False,False,,,
23,43,Ailurus_fulgens,Red Panda,Carnivora,Ailuridae,EN,9.70857183717701,5.57042467723476,20.31460987,3.514355915,0.486207987129446,0.281093695747637,20.2370479331,1.0,1,1000,direct,Ailurus_fulgens,False,False,,,
24,200,Mystacina_robusta,New Zealand Greater Short-tailed Bat,Chiroptera,Mystacinidae,CR,9.51965559243238,4.53241511821956,10.0589504654225,4.71059398105612,0.970552445223898,0.0630151400127725,4.62739623117148,1.0,1,1000,direct,Mystacina_robusta,False,False,,,
25,202,Macrotis_leucura,Yallara,Peramelemorphia,Thylacomyidae,EX,9.4783740406166,5.34584023959192,9.98949546028823,5.36948659971247,0.969371471532928,0.0661190838265316,6.10900274566065,1.0,0,1000,direct,Macrotis_leucura,False,False,,,
