EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
51,14,Hylomys_megalotis,Long-eared Gymnure,Eulipotyphla,Erinaceidae,DD,5.61093550706814,15.6151545935636,32.6045548589795,4.76309267781383,0.166341651089203,0.465905675785966,32.90371245971,0.0,0,1000,direct,Hylomys_megalotis,False,False,,,
106,36,Nothrotheriops_shastensis,,Pilosa,Nothrotheriidae,NM,3.77870746422344,11.4094806318074,21.8373654466875,5.36844771883692,0.166822827201569,0.552536989291436,22.26804357659,0.0,0,1000,no_RedList_match,,False,False,,,
123,46,Mylodon_darwinii,,Pilosa,Mylodontidae,NM,3.4663190256083,9.92008364215604,19.3408628900644,6.00510706215459,0.166822827201569,0.552438559218972,19.601792449094,0.0,0,1000,no_RedList_match,,False,False,,,
130,54,Megaladapis_edwardsi,,Primates,Megaladapidae,NM,3.35097786070835,9.95518703061891,18.0652737768476,3.26771355264057,0.178735888288564,0.554784807447076,18.35219692447,0.0,0,1000,no_RedList_match,,False,False,,,
147,68,Chlamyphorus_truncatus,Pink Fairy Armadillo,Cingulata,Chlamyphoridae,DD,3.04751291391333,7.93142707262608,15.8705707382174,7.50370936278774,0.168121849204643,0.558810575821362,12.336431922646,0.0,0,1000,direct,Chlamyphorus_truncatus,False,False,,,
138,70,Calyptophractus_retusus,Greater Fairy Armadillo,Cingulata,Chlamyphoridae,DD,3.12609648180758,8.10635273638467,15.7033756851005,7.41232382644659,0.16799134920304,0.557624599455207,12.336431922646,0.0,0,1000,direct,Calyptophractus_retusus,False,False,,,
164,80,Carterodon_sulcidens,Owl's Spiny Rat,Rodentia,Echimyidae,DD,2.71525504523833,8.59568321568067,15.0773702249099,3.62241326379483,0.177380171543981,0.563095168794226,9.2539808146026,0.0,0,1000,direct,Carterodon_sulcidens,False,False,,,
195,96,Dendrogale_melanura,Bornean Smooth-tailed Treeshrew,Scandentia,Tupaiidae,DD,2.50525947283759,7.08083817123905,14.001389425,4.44917492,0.168804327640178,0.578809553580136,14.245704840667,0.0,0,1000,direct,Dendrogale_melanura,False,False,,,
235,102,Marmosa_rubra,Red Mouse Opossum,Didelphimorphia,Didelphidae,DD,2.10917766911331,5.78967765680241,13.3491071529272,3.96403207727708,0.188955170440201,0.661013412375342,12.0401007719692,0.0,0,1000,direct,Marmosa_rubra,False,False,,,
236,144,Coelodonta_antiquitatis,,Perissodactyla,Rhinocerotidae,NM,2.10730000197202,5.52811426016734,11.6649246142606,2.06412565595934,0.168560701239223,0.486386403076801,6.403843556243,0.0,0,1000,no_RedList_match,,False,False,,,
281,158,Marmosa_andersoni,,Didelphimorphia,Didelphidae,DD,1.85004088053401,5.57904271573436,11.18936631061,3.31411131614046,0.186454106274433,0.647761259448176,10.2489871549198,0.0,0,1000,direct,Marmosa_andersoni,False,False,,,
265,173,Cardiocranius_paradoxus,Five-toed Pygmy Jerboa,Rodentia,Dipodidae,DD,1.92080693514748,5.43685780275087,10.7845557816799,3.02181300279659,0.181883451503904,0.55363493472003,10.367268779178,0.0,0,1000,direct,Cardiocranius_paradoxus,False,False,,,
378,181,Gracilinanus_emiliae,Emilia's Gracile Opossum,Didelphimorphia,Didelphidae,DD,1.46970246438912,3.75656429025908,10.5092640897002,7.91584527934248,0.187104011110264,0.675198603345178,8.73038889952894,0.0,0,1000,direct,Gracilinanus_emiliae,False,False,,,
289,193,Mammut_americanum,,Proboscidea,Mammutidae,NM,1.82639520798716,4.94280641517991,10.209051094671,4.21313959349679,0.165146279109614,0.549682817055433,10.288292382293,0.0,0,1000,no_RedList_match,,False,False,,,
364,255,Calassomys_apicalis,,Rodentia,Cricetidae,NM,1.49782221940892,4.96447439183596,8.8783294215,1.59648672325,0.17769796903592,0.653359610792184,8.28797340485064,0.0,0,1000,no_RedList_match,,False,False,,,
511,261,Hipposideros_coronatus,Large Mindanao Leaf-nosed Bat,Chiroptera,Hipposideridae,DD,1.11063382532136,2.56040688942106,8.79216052309698,6.80966359633746,0.164473653464944,0.436011058775807,6.54933906962588,0.0,0,1000,direct,Hipposideros_coronatus,False,False,,,
371,266,Xeronycteris_vieirai,,Chiroptera,Phyllostomidae,DD,1.48141495934188,4.36874319293354,8.77507309934579,2.50658544344261,0.168783660283255,0.583504940096398,8.24767828526451,0.0,0,1000,direct,Xeronycteris_vieirai,False,False,,,
