EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
1,23,Burramys_parvus,Mountain Pygmy Possum,Diprotodontia,Burramyidae,CR,24.4288352768582,4.26718653068784,25.8333946417601,4.4678316146383,0.969017552722647,0.0652740733396005,25.89502436858,1.0,1,1000,direct,Burramys_parvus,False,False,,,
2,5,Daubentonia_madagascariensis,Aye-aye,Primates,Daubentoniidae,EN,20.0411644184954,11.4326095717708,40.23966447,7.9875085525,0.485787927334518,0.286754805576868,41.0324468814,1.0,1,1000,direct,Daubentonia_madagascariensis,False,False,,,
3,41,Gymnobelideus_leadbeateri,Leadbeater's Possum,Diprotodontia,Petauridae,CR,19.5534365482907,3.32273151644772,20.5618230155105,3.18905435670835,0.967575510453126,0.0662981227538091,20.67481468046,1.0,1,1000,direct,Gymnobelideus_leadbeateri,False,False,,,
4,74,Manis_culionensis,Philippine Pangolin,Pholidota,Manidae,CR,14.6581245137164,6.815360992831,15.4652165650052,6.98224323941927,0.970356921865497,0.0643093832084664,6.59108618365414,1.0,1,1000,direct,Manis_culionensis,False,False,,,
5,76,Desmana_moschata,Russian Desman,Eulipotyphla,Talpidae,CR,14.3347338126028,4.56312341146115,15.1524298913282,4.68006525442127,0.968126321131184,0.0631341423864674,12.533966043835,1.0,1,1000,direct,Desmana_moschata,False,False,,,
6,83,Manis_pentadactyla,Chinese Pangolin,Pholidota,Manidae,CR,14.0883040683408,6.72181923380776,14.8708020312785,7.03787875341508,0.970255103189162,0.0643691045698731,0.868426868798592,1.0,1,1000,direct,Manis_pentadactyla,True,True,exact,Manis_pentadactyla,GCA_030020395.1
7,84,Manis_javanica,Sunda Pangolin,Pholidota,Manidae,CR,14.0615461283675,6.70840507750734,14.8577748366556,6.58094696303503,0.970255103189162,0.0643103644654012,0.853712047122,1.0,1,1000,direct,Manis_javanica,False,False,,,
9,114,Varecia_variegata,Black-and-white Ruffed Lemur,Primates,Lemuridae,CR,12.0680147972203,2.80016900856675,12.6348710165972,2.68344045611888,0.970140448847516,0.0600388275090146,0.9384068616351,1.0,1,1000,direct,Varecia_variegata,False,False,,,
10,115,Varecia_rubra,Red Ruffed Lemur,Primates,Lemuridae,CR,12.0536721476995,2.77098000311766,12.6173093348197,2.66854049082393,0.970168698415343,0.0598034797959762,0.9384068616351,1.0,1,1000,direct,Varecia_rubra,False,False,,,
18,26,Solisorex_pearsoni,Pearson's Long-clawed Shrew,Eulipotyphla,Soricidae,EN,11.2957921534854,7.42838271936586,24.83131725,5.693875665,0.485332410029096,0.281547552060227,22.5141185617028,0.984,1,1000,direct,Solisorex_pearsoni,False,False,,,
20,166,Indri_indri,Indri,Primates,Indriidae,CR,10.4777834411613,2.33945298898505,10.9761721077651,2.43606539800417,0.969992492781841,0.0587467320169043,11.271215715527,1.0,1,1000,direct,Indri_indri,False,False,,,
21,40,Manis_crassicaudata,Indian Pangolin,Pholidota,Manidae,EN,10.3772075128562,6.00861962378723,20.9331033808997,5.72342486718311,0.487398791112181,0.294179283478246,6.80566695792007,1.0,1,1000,direct,Manis_crassicaudata,False,False,,,
22,168,Hypogeomys_antimena,Malagasy Giant Jumping Rat,Rodentia,Nesomyidae,CR,10.3008976882293,3.0549797311084,10.8597365120737,2.96045607445083,0.969031333205242,0.0609183163912893,9.72751231063368,0.984,1,1000,direct,Hypogeomys_antimena,False,False,,,
23,43,Ailurus_fulgens,Red Panda,Carnivora,Ailuridae,EN,9.70857183717701,5.57042467723476,20.31460987,3.514355915,0.486207987129446,0.281093695747637,20.2370479331,1.0,1,1000,direct,Ailurus_fulgens,False,False,,,
24,200,Mystacina_robusta,New Zealand Greater Short-tailed Bat,Chiroptera,Mystacinidae,CR,9.51965559243238,4.53241511821956,10.0589504654225,4.71059398105612,0.970552445223898,0.0630151400127725,4.62739623117148,1.0,1,1000,direct,Mystacina_robusta,False,False,,,
26,216,Pongo_abelii,Sumatran Orangutan,Primates,Hominidae,CR,9.07893809047151,1.90926475997548,9.55068613066188,1.8957187650385,0.970337072830097,0.0626589653720927,2.0097940558689,1.0,1,1000,direct,Pongo_abelii,True,True,exact,Pongo_abelii,GCA_028885655.2
27,217,Pongo_pygmaeus,Bornean Orangutan,Primates,Hominidae,CR,9.07487390306284,1.91436173147808,9.51989859223483,1.92989462272,0.970496380151356,0.0626699867613592,2.0097940558689,1.0,1,1000,direct,Pongo_pygmaeus,True,True,exact,Pongo_pygmaeus,GCA_028885625.2
28,232,Mirimiri_acrodonta,Fijian Monkey-faced Bat,Chiroptera,Pteropodidae,CR,8.96215918825024,2.31399589998679,9.37568990577129,2.37950191276146,0.972014482950201,0.0617597947941174,8.69163652187902,0.965,1,1000,direct,Mirimiri_acrodonta,False,False,,,
29,238,Lipotes_vexillifer,,Artiodactyla,Lipotidae,CR,8.81018407830441,1.83514530559387,9.23417045670901,1.85129512333244,0.971487706269254,0.0605287664654335,8.6685384082747,0.986,1,1000,direct,Lipotes_vexillifer,False,False,,,
30,57,Galemys_pyrenaicus,Iberian Desman,Eulipotyphla,Talpidae,EN,8.59451777892427,5.24717847493974,17.5119502512448,6.61802005446437,0.475060464888952,0.291477875834344,12.583411617353,1.0,1,1000,direct,Galemys_pyrenaicus,False,False,,,
31,65,Bradypus_torquatus,Northern Maned Sloth,Pilosa,Bradypodidae,EN,7.9187935569245,4.58014772569058,16.3467699150738,4.92040924517498,0.472051599209105,0.291228960577283,12.7363018402141,1.0,1,1000,direct,Bradypus_torquatus,False,False,,,
32,317,Cheirogaleus_sibreei,Sibree's Dwarf Lemur,Primates,Cheirogaleidae,CR,7.65581152986988,2.38202504605326,8.00481657648464,2.46739453581764,0.970705609022416,0.0590220693147838,7.10353949555482,0.949,1,1000,direct,Cheirogaleus_sibreei,False,False,,,
33,338,Dicerorhinus_sumatrensis,Sumatran Rhinoceros,Perissodactyla,Rhinocerotidae,CR,7.4559502653093,2.91692112056289,7.77050448928329,3.08162283410894,0.970552582153358,0.0640166266798522,6.403843556243,1.0,1,1000,direct,Dicerorhinus_sumatrensis,True,True,exact,Dicerorhinus_sumatrensis,GCA_060039915.1
34,344,Bradypus_pygmaeus,Pygmy Three-toed Sloth,Pilosa,Bradypodidae,CR,7.35241334562432,8.79553258559765,7.7332729167243,9.10147050482541,0.967518866204957,0.0637844103757803,6.2813185110724,0.873,1,1000,direct,Bradypus_pygmaeus,False,False,,,
