species,RLcat_old,RLcat,EDGErank_old,EDGErank,EDGEmed_old,EDGEmed,is_EDGE_old,is_EDGE_new,RL_changed
Burramys_parvus,CR,CR,1,1,24.4288352768582,24.4288352768582,1,1,False
Daubentonia_madagascariensis,EN,EN,2,2,20.0411644184954,20.0411644184954,1,1,False
Gymnobelideus_leadbeateri,CR,CR,3,3,19.5534365482907,19.5534365482907,1,1,False
Manis_culionensis,CR,CR,6,4,14.762869842737,14.6581245137164,1,1,False
Desmana_moschata,CR,CR,7,5,14.3347338126028,14.3347338126028,1,1,False
Manis_pentadactyla,CR,CR,8,6,14.2305190945144,14.0883040683408,1,1,False
Manis_javanica,CR,CR,9,7,14.1766755545633,14.0615461283675,1,1,False
Hydrodamalis_gigas,EX,EX,10,8,13.5226904480663,13.5226904480663,0,0,False
Varecia_variegata,CR,CR,11,9,12.0680147972203,12.0680147972203,1,1,False
Varecia_rubra,CR,CR,12,10,12.0536721476995,12.0536721476995,1,1,False
Nesophontes_zamicrus,EX,EX,13,11,11.697758902624,11.697758902624,0,0,False
Nesophontes_hypomicrus,EX,EX,14,12,11.646584183579,11.646584183579,0,0,False
Nesophontes_major,EX,EX,15,13,11.6329312238063,11.6329312238063,0,0,False
Nesophontes_edithae,EX,EX,16,14,11.6198477449682,11.6198477449682,0,0,False
Nesophontes_micrus,EX,EX,17,15,11.6063433444986,11.6063433444986,0,0,False
Nesophontes_paramicrus,EX,EX,18,16,11.5907267530676,11.5907267530676,0,0,False
Palaeopropithecus_ingens,EX,EX,19,17,11.3327497466917,11.3327497466917,0,0,False
Solisorex_pearsoni,EN,EN,20,18,11.2957921534854,11.2957921534854,1,1,False
Thylacinus_cynocephalus,EX,EX,4,19,16.4867158664922,11.2100902056409,0,0,False
Indri_indri,CR,CR,21,20,10.4777834411613,10.4777834411613,1,1,False
Manis_crassicaudata,EN,EN,22,21,10.3805169266787,10.3772075128562,1,1,False
Hypogeomys_antimena,CR,CR,23,22,10.3008976882293,10.3008976882293,1,1,False
Ailurus_fulgens,EN,EN,24,23,9.70857183717701,9.70857183717701,1,1,False
Mystacina_robusta,CR,CR,25,24,9.51965559243238,9.51965559243238,1,1,False
Macrotis_leucura,EX,EX,26,25,9.4783740406166,9.4783740406166,0,0,False
Pongo_abelii,CR,CR,28,26,9.07893809047151,9.07893809047151,1,1,False
Pongo_pygmaeus,CR,CR,29,27,9.07487390306284,9.07487390306284,1,1,False
Mirimiri_acrodonta,CR,CR,30,28,8.96216293455609,8.96215918825024,1,1,False
Lipotes_vexillifer,CR,CR,31,29,8.79674332645601,8.81018407830441,1,1,False
Galemys_pyrenaicus,EN,EN,32,30,8.59451777892427,8.59451777892427,1,1,False
Bradypus_torquatus,EN,EN,33,31,7.9187935569245,7.9187935569245,1,1,False
Cheirogaleus_sibreei,CR,CR,34,32,7.65581152986988,7.65581152986988,1,1,False
Dicerorhinus_sumatrensis,CR,CR,35,33,7.4559502653093,7.4559502653093,1,1,False
Bradypus_pygmaeus,CR,CR,36,34,7.35241334562432,7.35241334562432,1,1,False
Bunolagus_monticularis,CR,CR,37,35,7.35225982767196,7.35225982767196,1,1,False
Mystacina_tuberculata,VU,VU,38,36,7.22241031120793,7.22241031120793,1,1,False
Dromiciops_gliroides,NT,NT,39,37,7.16017635067581,7.16017635067581,0,0,False
Pseudoryx_nghetinhensis,CR,CR,40,38,6.90285015224545,6.90285015224545,1,1,False
Zaglossus_attenboroughi,CR,CR,41,39,6.84003522010026,6.84003522010026,1,1,False
Zaglossus_bruijnii,CR,CR,42,40,6.82206609992293,6.82206609992293,1,1,False
Phascolarctos_cinereus,VU,VU,43,41,6.70386612549364,6.70386612549364,1,1,False
Chaeropus_ecaudatus,EX,EX,44,42,6.55407089232203,6.55407089088285,0,0,False
Macrotis_lagotis,VU,VU,45,43,6.37241711038737,6.37241711038737,1,1,False
Macrotarsomys_ingens,EN,EN,46,44,6.29634559614022,6.29634559614022,1,1,False
Platanista_gangetica,EN,EN,47,45,6.25790843244763,6.25790843244763,1,1,False
Diceros_bicornis,CR,CR,48,46,6.19541410012036,6.19541410012036,1,1,False
Rhinoceros_sondaicus,CR,CR,49,47,5.87461090247561,5.87461090247561,1,1,False
Petauroides_volans,EN,EN,50,48,5.84962973624491,5.84962973624491,1,1,False
Callistomys_pictus,EN,EN,51,49,5.81357847858348,5.81357847858348,1,1,False
Tokudaia_muenninki,CR,CR,52,50,5.63935838480284,5.63935838480284,1,1,False
Hylomys_megalotis,DD,DD,53,51,5.61093594557428,5.61093550706814,0,0,False
Latidens_salimalii,EN,EN,54,52,5.60397188276529,5.60397188276529,1,1,False
Potorous_gilbertii,CR,CR,55,53,5.59442712551335,5.59444977229003,1,1,False
Potorous_platyops,EX,EX,56,54,5.58641443396428,5.586458192608,0,0,False
Allocebus_trichotis,EN,EN,57,55,5.51079508736354,5.51079508738109,1,1,False
Hippopotamus_lemerlei,EX,EX,58,56,5.50211014186379,5.50211014186379,0,0,False
Choeropsis_liberiensis,EN,EN,59,57,5.47898031187781,5.47898031187781,1,1,False
Propithecus_coquereli,CR,CR,60,58,5.45093422563003,5.45093422563003,1,1,False
Propithecus_tattersalli,CR,CR,61,59,5.4471726549211,5.4471726549211,1,1,False
Hippopotamus_guldbergi,EX,EX,62,60,5.44411314664372,5.44411314664372,0,0,False
Propithecus_deckenii,CR,CR,63,61,5.44403660374777,5.44403660374777,1,1,False
Propithecus_verreauxi,CR,CR,64,62,5.43536851700163,5.43536851700163,1,1,False
Pygathrix_cinerea,CR,CR,65,63,5.34719457050772,5.34719457050772,1,1,False
Pygathrix_nemaeus,CR,CR,66,64,5.31877239896014,5.31877239896014,1,1,False
Pygathrix_nigripes,CR,CR,67,65,5.30089101665198,5.30089101665198,1,1,False
Santamartamys_rufodorsalis,CR,CR,68,66,5.21449808793133,5.21449808793133,1,1,False
Parantechinus_apicalis,EN,EN,69,67,5.15434602724495,5.15434602829203,1,1,False
Gorilla_gorilla,CR,CR,70,68,5.08464781872611,5.08464781872611,1,1,False
Gorilla_beringei,CR,CR,71,69,5.07178757252691,5.07178757252691,1,1,False
Tapirus_indicus,EN,EN,72,70,5.06129277559993,5.06129277559993,1,1,False
Propithecus_candidus,CR,CR,73,71,5.02281487531583,5.02281487531583,1,1,False
Propithecus_coronatus,CR,CR,74,72,5.00115278077807,5.00115278077807,1,1,False
Okapia_johnstoni,EN,EN,75,73,4.62926618957885,4.62926618957885,1,1,False
Solenodon_marcanoi,EX,EX,76,74,4.54051757880209,4.54051757880209,0,0,False
Chaetomys_subspinosus,VU,VU,77,75,4.53836128716239,4.53836128716239,1,1,False
Dasyurus_hallucatus,EN,EN,78,76,4.41771717261734,4.41771717261734,1,1,False
Prolemur_simus,CR,CR,79,77,4.40926343722351,4.40926343722351,1,1,False
Platacanthomys_lasiurus,VU,VU,80,78,4.38764319858121,4.38764319858121,1,1,False
Xenothrix_mcgregori,EX,EX,81,79,4.37297497729905,4.37297497729905,0,0,False
Caloprymnus_campestris,EX,EX,82,80,4.34540271203526,4.34614379209728,0,0,False
Neohylomys_hainanensis,EN,VU,27,81,9.08741115835165,4.33194484170183,1,1,True
Propithecus_perrieri,CR,CR,83,82,4.25401265354573,4.25401265354573,1,1,False
Rhynchomeles_prattorum,EN,EN,84,83,4.24288680922552,4.24288680922552,1,1,False
Phyllomys_mantiqueirensis,CR,CR,85,84,4.24128716120243,4.24128716120243,1,1,False
Hippopotamus_amphibius,VU,VU,86,85,4.19482637079917,4.19482637079917,1,1,False
Boromys_offella,EX,EX,87,86,4.15649535340651,4.15649535340651,0,0,False
Plecotus_sardus,CR,CR,88,87,4.15176873291222,4.15176873291222,1,1,False
Boromys_torrei,EX,EX,89,88,4.14671352378542,4.14671352378542,0,0,False
Ornithorhynchus_anatinus,NT,NT,90,89,4.1411987991204,4.1411987991204,0,0,False
Craseonycteris_thonglongyai,NT,NT,92,90,4.11032396213619,4.11032396219009,0,0,False
Abrocoma_boliviensis,CR,CR,143,91,3.08992932104567,4.07656920083178,1,1,False
Neomonachus_tropicalis,EX,EX,94,92,4.05405346198362,4.05405346987511,0,0,False
Smutsia_gigantea,EN,EN,91,93,4.12004432540581,3.97109039045279,1,1,False
Propithecus_diadema,CR,CR,95,94,3.96220953013344,3.96220953013344,1,1,False
