tree,PD,ePDloss
1,29523.4441073571,2967.41047337948
2,29689.5765710845,2955.63720806469
3,29728.4059461055,3035.59564926455
4,29749.363735003,2942.11398092991
5,29519.6994324462,2858.81676054054
6,29456.213460992,2883.99846100056
7,30112.7771701365,2978.17691146878
8,30282.343279165,2959.06961806777
9,30625.6853304088,3011.97302476267
10,27972.8982111491,2910.14798362841
11,27988.9610206811,2852.80703897649
12,30118.5304329227,3120.99112658597
13,28474.7635450243,2941.03623740588
14,28415.6627621681,2838.90633421694
15,30170.1823453838,3064.81305563582
16,30104.2010123165,3038.68606675679
17,29865.0330118147,3050.5538058816
18,29702.9972112226,2981.58459598451
19,29263.7845767801,3006.43036022213
20,29472.1983983613,2913.68377440627
21,29562.6170686701,2929.53323624338
22,29902.0777446347,2987.20771509592
23,29165.2089355779,2869.91795546212
24,29111.5582356668,2935.12643247732
25,28914.6743831068,2877.82110098221
26,29121.4350680756,2929.16834287767
27,28778.1133339618,2910.07207935051
28,29170.8061730337,2990.44317709678
29,29402.4139409255,3004.28113162929
30,29151.2966035003,3020.27408576875
31,29320.1435095787,2838.64735089698
32,29526.1975024278,2873.847728474
33,29393.2102513693,2872.60753664912
34,29274.801271384,2878.29830355725
35,29523.0497806723,2915.53497477613
36,29240.9774946986,2941.10882663968
37,28851.9553073753,2960.08412561297
38,28607.0266677372,2904.18954669115
39,28841.2345291542,2875.52761505865
40,28676.7826092625,2881.74566243305
41,29228.2482468417,2931.41364400794
42,29036.7656103658,2926.99258155862
43,28662.1368401922,2827.71044716255
44,28523.9861695875,2863.67431347925
45,28390.5032464449,2976.95546610377
46,28569.3428678565,2868.53836492348
47,28635.1612498839,2851.27556927369
48,28799.2955270722,2977.99022093941
49,28820.278326327,2847.58903654895
50,29080.680749915,2892.1508819749
51,29643.2824109052,3051.32704226527
52,29638.4010375787,2964.72984149095
53,29816.7830758867,2915.15015884352
54,29945.7189527972,2957.84272824479
55,30122.9534190446,2931.7920777419
56,29387.6176491714,2780.0789828972
57,34584.7019780184,3496.01110201962
58,30053.6069960189,3071.14133876259
59,29925.6622183154,3071.50725471735
60,30648.3902443032,3186.58618654653
61,30227.8057768759,3012.01384156659
62,30208.6492584512,3116.34271405049
63,29314.6642288588,2957.7895577996
64,29317.9813769347,2882.3665481223
65,29184.456147169,2959.68321281666
66,30046.5766231469,3021.38003243868
67,34521.6258788079,3343.27901105608
68,29638.9558474118,3051.31986341636
69,29506.9890742865,2946.96268042719
70,29519.3733166142,2941.68393734443
71,29195.9673976725,2956.03395631049
72,29429.6194213837,2991.14881193378
73,29597.9703294442,2916.11594868521
74,29626.379531091,3090.64079665716
75,29895.1652371974,3158.29231501667
76,29838.270890236,3092.9791107997
77,29585.6548310637,2922.67399956487
78,29468.5736685711,2966.03649972329
79,29700.9827387664,2933.87860299889
80,30226.5507158591,3064.85623482282
81,29920.1284340795,3008.31628230019
82,29512.4644179015,3048.31309176101
83,30317.74062626,3213.35604830904
84,29955.9724359765,3035.18364945329
85,29193.1677165913,2914.82909921326
86,29578.6271913474,2910.58780100501
87,29046.2899593347,2818.00915889849
88,28605.2315102825,2727.92818225076
89,28359.5835414154,2736.64038248173
90,28069.3953586107,2844.47613803766
91,28702.2151004386,2795.45326915556
92,28443.9672807899,2851.10788425003
93,28065.4575402114,2759.44500916308
94,27913.3382498295,2941.0615609059
95,33365.7889951099,3327.21441709734
96,32909.0170979235,3399.91881175761
97,32575.3872000595,3222.13663981282
98,28385.4059013629,2962.80787633069
99,28390.539474329,2865.17298706138
100,28195.82710831,2771.70533249266
101,29068.9974428797,2942.86264310541
102,33447.9691326475,3288.36725144136
103,28957.500577127,2890.99771403102
104,33685.3424477183,3324.61980653498
105,30050.2380719532,2951.56146707954
106,28628.9665613926,2852.07035017932
107,28742.4087399634,2856.64409738783
108,28907.3546448058,2910.43406635621
109,28834.5791404129,2861.74860473353
110,29227.6646526777,3000.94680226346
111,29267.5680246606,3053.60859325802
112,29401.7894671382,2942.78858915864
113,29221.0095009862,3015.40671240605
114,28563.5775907598,2889.09925304365
115,28285.4469432152,2839.66075102954
116,28884.8915780008,2915.76064604821
117,29068.8966695492,2882.29189186188
118,29956.6853491542,3047.43687817063
119,28252.5397370395,2815.79325224967
120,29666.3310777916,2997.64311023355
121,28493.8682663392,2839.93387393965
122,28153.0318724446,2880.09779343408
123,28171.3476555389,2752.33498284435
124,28083.5920526805,2789.21495500203
125,30622.5423423567,3189.72098245518
126,33208.8038038186,3310.33443204784
127,30533.024731427,3153.60100022054
128,28731.2765776704,2998.51802791507
129,28980.6410270723,2961.28381784859
130,28660.9738126821,2945.40401303248
131,28790.6774153212,2979.35444780703
132,30897.1470981374,3156.62809544363
