order,n_species,n_EDGE,median_EDGE2,n_vgp_genome,n_EDGE_with_genome,pct_EDGE
Primates,458,148,0.4429625433339385,18,10.0,32.314410480349345
Rodentia,2392,110,0.1328769962337355,37,0.0,4.59866220735786
Chiroptera,1287,85,0.163056438767527,77,2.0,6.6045066045066045
Artiodactyla,340,59,0.2030517139375425,46,11.0,17.352941176470587
Diprotodontia,146,43,0.44108207866647253,3,1.0,29.45205479452055
Eulipotyphla,491,38,0.17444152055886,4,0.0,7.739307535641548
Carnivora,298,37,0.150532986023038,18,2.0,12.416107382550335
Afrosoricida,55,17,0.426782127387143,2,0.0,30.90909090909091
Dasyuromorphia,78,12,0.3773100271775255,3,1.0,15.384615384615385
Perissodactyla,24,11,0.5931758326639069,5,4.0,45.833333333333336
Lagomorpha,91,8,0.153236464319081,2,1.0,8.791208791208792
Pholidota,8,8,7.174148951654495,1,1.0,100.0
Didelphimorphia,106,7,0.2458452155422985,1,0.0,6.60377358490566
Peramelemorphia,22,6,0.416868867377398,1,1.0,27.272727272727273
Sirenia,5,4,0.631083197359329,2,2.0,80.0
Monotremata,5,3,4.1411987991204,2,0.0,60.0
Paucituberculata,7,3,0.85728681595695,1,0.0,42.857142857142854
Pilosa,12,3,1.2746715546752636,2,0.0,25.0
Scandentia,20,2,0.2540240309602835,1,0.0,10.0
Cingulata,21,2,0.299497158891926,1,0.0,9.523809523809524
Macroscelidea,19,2,0.452966398834819,1,0.0,10.526315789473685
Proboscidea,7,2,0.367840897249964,2,2.0,28.571428571428573
Microbiotheria,1,0,7.16017635067581,1,0.0,0.0
Notoryctemorphia,2,0,0.427247688441143,1,0.0,0.0
Hyracoidea,5,0,0.269679294709329,1,0.0,0.0
Dermoptera,2,0,0.6026336836013184,1,0.0,0.0
Cetartiodactyla,8,0,0.279496011294396,1,0.0,0.0
Tubulidentata,1,0,3.9136020424357,1,0.0,0.0
