clade,species,RLcat,match,matched_IUCN_name,order,family
mammals,Zaglossus_bartoni,VU,direct,Zaglossus_bartoni,Monotremata,Tachyglossidae
mammals,Zaglossus_bruijnii,CR,direct,Zaglossus_bruijnii,Monotremata,Tachyglossidae
mammals,Zaglossus_attenboroughi,CR,direct,Zaglossus_attenboroughi,Monotremata,Tachyglossidae
mammals,Tachyglossus_aculeatus,LC,direct,Tachyglossus_aculeatus,Monotremata,Tachyglossidae
mammals,Ornithorhynchus_anatinus,NT,direct,Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae
mammals,Hydrodamalis_gigas,EX,direct,Hydrodamalis_gigas,Sirenia,Dugongidae
mammals,Trichechus_manatus,VU,direct,Trichechus_manatus,Sirenia,Trichechidae
mammals,Trichechus_senegalensis,VU,direct,Trichechus_senegalensis,Sirenia,Trichechidae
mammals,Trichechus_inunguis,VU,direct,Trichechus_inunguis,Sirenia,Trichechidae
mammals,Dugong_dugon,VU,direct,Dugong_dugon,Sirenia,Dugongidae
mammals,Mammut_americanum,NM,no_RedList_match,,Proboscidea,Mammutidae
mammals,Loxodonta_africana,EN,direct,Loxodonta_africana,Proboscidea,Elephantidae
mammals,Mammuthus_primigenius,NM,no_RedList_match,,Proboscidea,Mammutidae
mammals,Mammuthus_columbi,NM,no_RedList_match,,Proboscidea,Mammutidae
mammals,Elephas_maximus,EN,direct,Elephas_maximus,Proboscidea,Elephantidae
mammals,Elephas_cypriotes,NM,no_RedList_match,,Proboscidea,Elephantidae
mammals,Elephas_antiquus,NM,no_RedList_match,,Proboscidea,Elephantidae
mammals,Procavia_capensis,LC,direct,Procavia_capensis,Hyracoidea,Procaviidae
mammals,Heterohyrax_brucei,LC,direct,Heterohyrax_brucei,Hyracoidea,Procaviidae
mammals,Dendrohyrax_dorsalis,LC,direct,Dendrohyrax_dorsalis,Hyracoidea,Procaviidae
mammals,Dendrohyrax_validus,NT,direct,Dendrohyrax_validus,Hyracoidea,Procaviidae
mammals,Dendrohyrax_arboreus,LC,direct,Dendrohyrax_arboreus,Hyracoidea,Procaviidae
mammals,Orycteropus_afer,LC,direct,Orycteropus_afer,Tubulidentata,Orycteropodidae
mammals,Rhynchocyon_petersi,LC,direct,Rhynchocyon_petersi,Macroscelidea,Macroscelididae
mammals,Rhynchocyon_chrysopygus,EN,direct,Rhynchocyon_chrysopygus,Macroscelidea,Macroscelididae
mammals,Rhynchocyon_cirnei,LC,direct,Rhynchocyon_cirnei,Macroscelidea,Macroscelididae
mammals,Rhynchocyon_udzungwensis,VU,direct,Rhynchocyon_udzungwensis,Macroscelidea,Macroscelididae
mammals,Elephantulus_myurus,LC,direct,Elephantulus_myurus,Macroscelidea,Macroscelididae
mammals,Elephantulus_edwardii,LC,direct,Elephantulus_edwardii,Macroscelidea,Macroscelididae
mammals,Macroscelides_micus,LC,direct,Macroscelides_micus,Macroscelidea,Macroscelididae
mammals,Macroscelides_proboscideus,LC,direct,Macroscelides_proboscideus,Macroscelidea,Macroscelididae
mammals,Macroscelides_flavicaudatus,LC,direct,Macroscelides_flavicaudatus,Macroscelidea,Macroscelididae
mammals,Elephantulus_revoilii,DD,GBIF_iucn_link,Elephantulus_revoili,Macroscelidea,Macroscelididae
mammals,Petrodromus_tetradactylus,LC,direct,Petrodromus_tetradactylus,Macroscelidea,Macroscelididae
mammals,Elephantulus_fuscus,DD,direct,Elephantulus_fuscus,Macroscelidea,Macroscelididae
mammals,Elephantulus_rozeti,LC,MDD_synonym,Petrosaltator_rozeti,Macroscelidea,Macroscelididae
mammals,Elephantulus_intufi,LC,direct,Elephantulus_intufi,Macroscelidea,Macroscelididae
mammals,Elephantulus_pilicaudus,DD,direct,Elephantulus_pilicaudus,Macroscelidea,Macroscelididae
mammals,Elephantulus_rupestris,LC,direct,Elephantulus_rupestris,Macroscelidea,Macroscelididae
mammals,Elephantulus_fuscipes,DD,direct,Elephantulus_fuscipes,Macroscelidea,Macroscelididae
mammals,Elephantulus_brachyrhynchus,LC,direct,Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae
mammals,Elephantulus_rufescens,LC,MDD_synonym,Galegeeska_rufescens,Macroscelidea,Macroscelididae
mammals,Potamogale_velox,LC,direct,Potamogale_velox,Afrosoricida,Potamogalidae
mammals,Micropotamogale_ruwenzorii,LC,direct,Micropotamogale_ruwenzorii,Afrosoricida,Potamogalidae
mammals,Micropotamogale_lamottei,VU,direct,Micropotamogale_lamottei,Afrosoricida,Potamogalidae
mammals,Microgale_fotsifotsy,LC,direct,Microgale_fotsifotsy,Afrosoricida,Tenrecidae
mammals,Microgale_nasoloi,VU,direct,Microgale_nasoloi,Afrosoricida,Tenrecidae
mammals,Microgale_pusilla,LC,direct,Microgale_pusilla,Afrosoricida,Tenrecidae
mammals,Microgale_principula,LC,direct,Microgale_principula,Afrosoricida,Tenrecidae
mammals,Microgale_majori,LC,direct,Microgale_majori,Afrosoricida,Tenrecidae
mammals,Microgale_dryas,VU,direct,Microgale_dryas,Afrosoricida,Tenrecidae
mammals,Microgale_monticola,VU,direct,Microgale_monticola,Afrosoricida,Tenrecidae
