EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
57,10,Cathetorhinus_melanocephalus,,Squamata,Gerrhopilidae,DD,12.4233327139833,42.1493397005738,67.2350140350036,12.0918244800063,0.186212836295837,0.614805820145514,67.79529860705,0.0,0,1000,direct,Cathetorhinus_melanocephalus,False,False,,,
112,19,Rhachisaurus_brachylepis,Dixon's Anotosaura,Squamata,Gymnophthalmidae,DD,10.0127328083084,27.544710765489,58.031681,9.8483315,0.167849067051439,0.500579816468138,58.033499183,0.0,0,1000,direct,Rhachisaurus_brachylepis,False,False,,,
228,37,Xenophidion_schaeferi,Schäfer's Spiny-jawed Snake,Squamata,Xenophidiidae,DD,7.6109209282174,17.7515728074536,44.6541565571942,31.7209173717565,0.178735888288564,0.573437209564205,30.0037738542553,0.0,0,1000,direct,Xenophidion_schaeferi,False,False,,,
207,38,Xenophidion_acanthognathus,,Squamata,Xenophidiidae,DD,7.99351524975663,19.1422772093855,44.1547083312794,31.3518083557312,0.178163851179345,0.573437209564205,30.0037738542553,0.0,0,1000,direct,Xenophidion_acanthognathus,False,False,,,
336,82,Ptychozoon_rhacophorus,Sabah Flying Gecko,Squamata,Gekkonidae,DD,5.91085525713282,13.42004067995,36.0215940677722,12.4994837808302,0.174328783673613,0.559788138824835,30.7496484799664,0.0,0,1000,GBIF_accepted,Gekko_rhacophorus,False,False,,,
534,148,Mediodactylus_brachykolon,Short-limbed Bend-toed Gecko,Squamata,Gekkonidae,DD,4.51720366758693,9.17329339979127,29.7115873357112,24.1680665299219,0.170705244643237,0.530766505572568,23.6788281987257,0.0,0,1000,direct,Mediodactylus_brachykolon,False,False,,,
372,155,Xenosaurus_agrenon,,Squamata,Xenosauridae,NM,5.61085518120659,14.0147337112133,29.4131318162853,32.1564081550831,0.178836655102767,0.617748553546791,28.1376841213038,0.0,0,1000,no_RedList_match,,False,False,,,
377,178,Xenosaurus_rackhami,,Squamata,Xenosauridae,NM,5.55616222337422,12.3874571672889,28.0363679048514,30.3658167854332,0.178570747203118,0.625770990233506,26.662276125251,0.0,0,1000,no_RedList_match,,False,False,,,
576,183,Sphenomorphus_diwata,Diwata Sphenomorphus,Squamata,Scincidae,DD,4.21358443598161,12.2986948408767,27.53249146,4.7838699625,0.165039814964201,0.505790669481911,25.6524308458875,0.0,0,1000,direct,Sphenomorphus_diwata,False,False,,,
390,189,Xenosaurus_tzacualtipantecus,,Squamata,Xenosauridae,NM,5.449025797735,12.6826252792203,27.3451529910732,31.6612448703307,0.178162589748789,0.61789171843612,27.9148242551914,0.0,0,1000,no_RedList_match,,False,False,,,
354,193,Xenosaurus_mendozai,,Squamata,Xenosauridae,NM,5.78944270251511,13.1164911543937,27.1864004641505,30.7127252076077,0.178162589748789,0.62594256738048,26.9444862279462,0.0,0,1000,no_RedList_match,,False,False,,,
376,203,Xenosaurus_phalaroanthereon,,Squamata,Xenosauridae,DD,5.56873043896787,13.0362707514487,26.689519542466,30.5207832936978,0.17769796903592,0.61789171843612,27.7134954363484,0.0,0,1000,direct,Xenosaurus_phalaroanthereon,False,False,,,
511,208,Dibamus_vorisi,,Squamata,Dibamidae,DD,4.62507268416701,11.7303095182573,26.4588124785138,33.1791341221921,0.17116254820367,0.446319582813198,29.9947695097247,0.0,0,1000,direct,Dibamus_vorisi,False,False,,,
427,220,Dibamus_booliati,Boo Liat’s Blind Lizard,Squamata,Dibamidae,DD,5.11800841450186,11.6337050861911,26.0563020305294,32.2525942748815,0.17135279498653,0.456185384109453,30.427644217272,0.0,0,1000,direct,Dibamus_booliati,False,False,,,
440,236,Dibamus_deharvengi,,Squamata,Dibamidae,DD,4.99068917307191,12.0561251540598,25.7866478168972,33.592003480871,0.17116254820367,0.446188553919883,29.3246294898946,0.0,0,1000,direct,Dibamus_deharvengi,False,False,,,
488,237,Dibamus_smithi,,Squamata,Dibamidae,DD,4.73222092660948,12.9898709083871,25.7784982979448,30.9254466068435,0.17116254820367,0.453913766317183,28.8847799037325,0.0,0,1000,direct,Dibamus_smithi,True,True,exact,Dibamus_smithi,GCA_046126795.1
594,247,Gonocephalus_robinsonii,,Squamata,Agamidae,NM,4.14670392640618,10.9732862782317,25.5349185107816,24.5664023590197,0.187043744980449,0.654270228091624,22.0288440721981,0.0,0,1000,no_RedList_match,,False,False,,,
519,248,Dibamus_somsaki,Somsak’s Dibamid Lizard,Squamata,Dibamidae,DD,4.59170095018399,12.7608883230584,25.5136841587754,33.1901501114348,0.17135279498653,0.456185384109453,30.7094678129933,0.0,0,1000,direct,Dibamus_somsaki,False,False,,,
491,251,Dibamus_tebal,,Squamata,Dibamidae,DD,4.72885255072211,11.9837634788469,25.4785632157251,31.4796101148317,0.171069078365101,0.442786253901324,27.9847470789195,0.0,0,1000,direct,Dibamus_tebal,False,False,,,
550,259,Barkudia_melanosticta,Russell's Legless Skink,Squamata,Scincidae,DD,4.40810753206494,9.66416284792976,25.3446517935156,18.8736822002635,0.169710384603372,0.437266079811787,8.87928046278211,0.0,0,1000,direct,Barkudia_melanosticta,False,False,,,
601,274,Luperosaurus_gulat,,Squamata,Gekkonidae,DD,4.11959380939757,8.12360070739437,24.9490906047955,25.6766324063432,0.174328783673613,0.556932622919619,21.4918407605694,0.0,0,1000,GBIF_accepted,Gekko_gulat,False,False,,,
493,278,Dibamus_ingeri,,Squamata,Dibamidae,DD,4.72226604926464,12.9960330234922,24.8351386287249,31.0861633934599,0.171069078365101,0.446188553919883,29.4624979290073,0.0,0,1000,direct,Dibamus_ingeri,False,False,,,
462,284,Dibamus_alfredi,Alfred's Blind Skink,Squamata,Dibamidae,DD,4.86350736356012,11.6199371954719,24.7294133961567,30.4964855361517,0.17116254820367,0.445081402739979,28.1196820931059,0.0,0,1000,direct,Dibamus_alfredi,False,False,,,
515,298,Dibamus_dezwaani,,Squamata,Dibamidae,DD,4.60616362831594,11.8494952298147,24.3180470375253,33.1459596969502,0.17116254820367,0.446319582813198,28.9898978376843,0.0,0,1000,direct,Dibamus_dezwaani,False,False,,,
647,305,Paracontias_vermisaurus,,Squamata,Scincidae,DD,3.84324984307971,10.2276239783139,24.2092541755055,6.85466711784826,0.172257248654336,0.49970825158756,20.4530073870244,0.0,0,1000,direct,Paracontias_vermisaurus,False,False,,,
662,311,Luperosaurus_joloensis,Jolo Flapped-legged Gecko,Squamata,Gekkonidae,DD,3.75664657986624,8.93964538095103,24.1249802894257,22.305575607148,0.174328783673613,0.54662187387217,19.6843194623272,0.0,0,1000,direct,Luperosaurus_joloensis,False,False,,,
522,347,Matoatoa_spannringi,,Squamata,Gekkonidae,DD,4.58022365070721,10.7732856369344,23.2840124380153,14.6965277962434,0.175019286821306,0.536094914149138,18.815551229323,0.0,0,1000,direct,Matoatoa_spannringi,False,False,,,
595,366,Anomalepis_colombia,,Squamata,Anomalepididae,DD,4.14520741899623,10.5066565394484,22.9917752847892,23.8307843158249,0.16897905278174,0.577503177451029,19.8985624560798,0.0,0,1000,direct,Anomalepis_colombia,False,False,,,
589,379,Anomalepis_aspinosus,Taylor's Peru Blind Snake,Squamata,Anomalepididae,DD,4.15592717545974,10.5224704909665,22.8033498547972,24.0474308511134,0.16897905278174,0.574194496678096,19.5066112137487,0.0,0,1000,direct,Anomalepis_aspinosus,False,False,,,
593,397,Geckolepis_polylepis,,Squamata,Gekkonidae,DD,4.14712782163755,11.9846793687626,22.3644874505718,6.2992945733354,0.18364775517881,0.577391639141109,22.21691829092,0.0,0,1000,direct,Geckolepis_polylepis,False,False,,,
579,398,Anomalepis_flavapices,Ecuador Blind Snake,Squamata,Anomalepididae,DD,4.19369224968188,10.387501501285,22.3588259046354,23.7379340827356,0.16897905278174,0.577503177451029,20.1975258454888,0.0,0,1000,direct,Anomalepis_flavapices,False,False,,,
562,399,Anomalepis_mexicanus,Mexican Blind Snake,Squamata,Anomalepididae,DD,4.32457992178777,9.45595345249508,22.3317710612041,23.8405091246906,0.169326825143835,0.577107017213411,20.1690908329523,0.0,0,1000,GBIF_accepted,Anomalepis_mexicana,False,False,,,
708,408,Nactus_acutus,,Squamata,Gekkonidae,DD,3.55738582315302,8.16229641687884,22.0771399803547,11.5711991217777,0.168284196998603,0.528999671779821,17.9349916269818,0.0,0,1000,direct,Nactus_acutus,False,False,,,
800,479,Gekko_truongi,Truong’s Gecko,Squamata,Gekkonidae,DD,3.18586147548444,6.84888209594009,20.769683107261,18.2131560648474,0.174328783673613,0.565962098617565,16.5894900505492,0.0,0,1000,direct,Gekko_truongi,False,False,,,
693,486,Pachycalamus_brevis,Short Worm Lizard,Squamata,Trogonophidae,DD,3.62931194569917,9.63148320624448,20.5590009243972,19.0277405399166,0.180822331883572,0.644019512497762,21.3212988815089,0.0,0,1000,direct,Pachycalamus_brevis,False,False,,,
703,550,Phelsuma_borai,,Squamata,Gekkonidae,DD,3.57185832846478,10.2947526760724,19.6983543050931,4.45966718329508,0.170283258980613,0.533333265661744,18.0832108556686,0.0,0,1000,direct,Phelsuma_borai,False,False,,,
763,561,Gekko_grossmanni,,Squamata,Gekkonidae,DD,3.32419128037988,7.02273298050414,19.5198103457293,18.000855960646,0.176308319851015,0.565779753090421,16.2568555075168,0.0,0,1000,direct,Gekko_grossmanni,False,False,,,
872,572,Amphiglossus_meva,,Squamata,Scincidae,DD,2.94718532135649,6.95042878616998,19.3175661202067,9.40286887863267,0.170148052962235,0.496270078762273,15.2804514989523,0.0,0,1000,GBIF_accepted,Flexiseps_meva,False,False,,,
781,579,Tumbunascincus_luteilateralis,Orange-speckled Forest-skink,Squamata,Scincidae,DD,3.25142233622074,9.85246245068284,19.2354263339521,3.39262895288988,0.165271072592883,0.505820861734666,19.36224682332,0.0,0,1000,direct,Tumbunascincus_luteilateralis,False,False,,,
829,583,Luperosaurus_iskandari,Pak Djoko's Flap-legged Gecko,Squamata,Gekkonidae,DD,3.08667024074049,7.00549675809283,19.1341999303247,16.7186424421429,0.177960462785948,0.565666313845027,16.1062983732916,0.0,0,1000,GBIF_accepted,Gekko_iskandari,False,False,,,
749,592,Urostrophus_gallardoi,,Squamata,Leiosauridae,DD,3.40328482710075,9.74435660752088,19.0262565906588,5.96907124900876,0.168804327640178,0.557987556277727,19.50955837192,0.0,0,1000,direct,Urostrophus_gallardoi,False,False,,,
700,596,Gerrhopilus_tindalli,Tindall's Worm Snake,Squamata,Gerrhopilidae,DD,3.59389869835534,9.18501952404367,19.0113794570968,19.5570360285422,0.182554764337875,0.596628006636054,17.8218736202857,0.0,0,1000,direct,Gerrhopilus_tindalli,False,False,,,
746,599,Leposoma_sinepollex,,Squamata,Gymnophthalmidae,DD,3.4197010296467,9.15033982607124,18.9265256102907,5.3566931178679,0.166193890040608,0.543415811996824,16.017910346236,0.0,0,1000,direct,Leposoma_sinepollex,False,False,,,
657,601,Holodactylus_cornii,,Squamata,Eublepharidae,DD,3.79025905243657,7.91656778166576,18.9157854552642,22.0342767753528,0.176238244124992,0.483054675562403,20.2947387291916,0.0,0,1000,direct,Holodactylus_cornii,False,False,,,
643,612,Gerrhopilus_hades,,Squamata,Gerrhopilidae,DD,3.88324595788816,8.6919653392444,18.8124813882746,18.1310473634417,0.184336811190649,0.604267678400303,17.4427481657294,0.0,0,1000,direct,Gerrhopilus_hades,False,False,,,
686,615,Gerrhopilus_beddomii,Beddome's Worm Snake,Squamata,Gerrhopilidae,DD,3.64969384993229,8.46077826321723,18.7614232139786,19.463689883827,0.183168192728247,0.597157449018991,17.7036840487803,0.0,0,1000,direct,Gerrhopilus_beddomii,False,False,,,
711,620,Gerrhopilus_bisubocularis,Javanese Blind Snake,Squamata,Gerrhopilidae,DD,3.54929567578635,8.17481467411491,18.7247416564507,21.7904217899283,0.184336811190649,0.613881476375416,17.1798888016282,0.0,0,1000,direct,Gerrhopilus_bisubocularis,False,False,,,
683,630,Gerrhopilus_mcdowelli,McDowell’s Blindsnake,Squamata,Gerrhopilidae,DD,3.66582573011995,8.39906400436536,18.5906823935271,19.375325918751,0.183744619005032,0.613881476375416,17.4642951905493,0.0,0,1000,direct,Gerrhopilus_mcdowelli,False,False,,,
709,634,Gerrhopilus_oligolepis,Wall's Worm Snake,Squamata,Gerrhopilidae,DD,3.55682702209772,8.22973112216811,18.5822238582688,20.1054831580494,0.183744619005032,0.60479712078324,17.5454748451362,0.0,0,1000,direct,Gerrhopilus_oligolepis,False,False,,,
758,639,Insulasaurus_wrighti,Wright's Sphenomorphus,Squamata,Scincidae,DD,3.34769189777353,10.0786286849243,18.5088304002161,4.25779200731991,0.172120581648648,0.525098780370478,18.97908461822,0.0,0,1000,direct,Insulasaurus_wrighti,False,False,,,
