EDGErank,EDrank,species,common_name,order,family,RLcat,EDGEmed,EDGEiqr,EDmed,EDiqr,pextmed,pextiqr,TBLmn,isEDGEsp_frac,is_EDGE_species,n_trees,match,matched_IUCN_name,on_vgp_list,has_vgp_genome,vgp_placement_tier,vgp_name,vgp_accession
1,16,Xenotyphlops_grandidieri,,Squamata,Xenotyphlopidae,CR,61.8047235567104,10.7405862938312,65.0530855,10.15468325,0.97290473996383,0.0586618332696283,64.958502693,1.0,1,1000,direct,Xenotyphlops_grandidieri,False,False,,,
4,106,Anolis_utilensis,Mangrove Anole,Squamata,Anolidae,CR,31.7657592804539,25.4161192532059,34.190098295,26.7442601797208,0.972842662690647,0.0560535280983723,24.8660485555729,0.903,1,1000,direct,Anolis_utilensis,False,False,,,
5,11,Lanthanotus_borneensis,Borneo Earless Monitor,Squamata,Lanthanotidae,EN,31.7206684986983,16.6445648667206,66.5500425,14.61081475,0.48225770977199,0.261967654855367,65.853320209,1.0,1,1000,direct,Lanthanotus_borneensis,False,False,,,
6,113,Gongylomorphus_bojerii,Bojer's Skink,Squamata,Scincidae,CR,31.3343953468862,29.3082109108645,33.3342037708366,30.5131203878717,0.969654356024077,0.063202886816687,28.6354838694279,0.912,1,1000,direct,Gongylomorphus_bojerii,False,False,,,
7,115,Gonatodes_daudini,Union Island Gecko,Squamata,Sphaerodactylidae,CR,30.9368375875486,19.4483174023954,32.7670607565657,20.7342404746591,0.971214318237204,0.0566903435725926,26.0030126283368,0.948,1,1000,direct,Gonatodes_daudini,False,False,,,
8,125,Anolis_darlingtoni,Darlington's Anole,Squamata,Anolidae,CR,30.0592041941014,6.1509974797375,31.442112622587,5.82660265119225,0.972073005910939,0.0557385766045453,28.5076721021147,1.0,1,1000,direct,Anolis_darlingtoni,False,False,,,
9,144,Gonatodes_infernalis,,Squamata,Sphaerodactylidae,CR,28.3152269389545,16.5358455938783,29.9965474063482,17.4845218456369,0.971214318237204,0.0565991217304527,24.9013218616267,0.933,1,1000,direct,Gonatodes_infernalis,False,False,,,
10,297,Asaccus_caudivolvulus,Emirati Leaf-toed Gecko,Squamata,Phyllodactylidae,CR,23.1170781743712,19.1086263676021,24.330063473719,19.7026086546351,0.971112977356402,0.0567068302459359,18.667307972726,0.879,1,1000,direct,Asaccus_caudivolvulus,False,False,,,
11,427,Hemiphyllodactylus_aurantiacus,Yercaud Slender Gecko,Squamata,Gekkonidae,CR,20.6922190826947,9.93920224609025,21.707289053075,10.3877842288297,0.972094315434489,0.0611553036034942,19.2244718382739,0.903,1,1000,direct,Hemiphyllodactylus_aurantiacus,False,False,,,
12,435,Anolis_koopmani,Brown Red-bellied Anole,Squamata,Anolidae,CR,20.6149548945244,4.08864508896003,21.656183837519,4.20103448787933,0.972044774805213,0.0572813732323628,19.1636669123318,1.0,1,1000,direct,Anolis_koopmani,False,False,,,
13,478,Goniurosaurus_yingdeensis,Yingde Leopard Gecko,Squamata,Eublepharidae,CR,19.8812355383894,9.61834267707616,20.8113451940669,10.0566681986796,0.971498576647875,0.0570828051067436,7.03912848764029,0.999,1,1000,direct,Goniurosaurus_yingdeensis,False,False,,,
14,58,Uroplatus_guentheri,,Squamata,Gekkonidae,EN,19.2434191585096,10.9793462876802,38.3820318533684,6.94359039939437,0.493029213148407,0.298792492744824,29.12007618589,1.0,1,1000,direct,Uroplatus_guentheri,False,False,,,
15,60,Uroplatus_malahelo,,Squamata,Gekkonidae,EN,19.1538254545605,10.9576545882582,38.045865636574,7.34270336104802,0.494811795802184,0.299986301678745,29.12007618589,1.0,1,1000,direct,Uroplatus_malahelo,False,False,,,
16,502,Goniurosaurus_yamashinae,Yamashina's Ground Gecko,Squamata,Eublepharidae,CR,19.0864096674502,18.7026502655951,20.3192712185332,19.1214506074062,0.971382146128271,0.0571216343548329,15.2829322819425,0.934,1,1000,direct,Goniurosaurus_yamashinae,False,False,,,
17,532,Goniurosaurus_toyamai,Toyama's Ground Gecko,Squamata,Eublepharidae,CR,18.8795436356846,18.9168864801987,19.8725652431569,19.8205023485974,0.971266495185197,0.0570459463047264,15.122912485325,0.909,1,1000,direct,Goniurosaurus_toyamai,False,False,,,
18,547,Goniurosaurus_huuliensis,,Squamata,Eublepharidae,CR,18.7772641193996,18.3209831721899,19.7165576571249,19.5101161259548,0.971266495185197,0.0570459463047264,14.4513902514091,0.911,1,1000,direct,Goniurosaurus_huuliensis,False,False,,,
19,535,Gerrhopilus_mirus,Jan's Worm Snake,Squamata,Gerrhopilidae,CR,18.693507333786,20.0865188907993,19.8682043898751,21.3824327751817,0.97290473996383,0.0586618332696283,18.5883818877725,0.903,1,1000,direct,Gerrhopilus_mirus,False,False,,,
20,546,Paracontias_rothschildi,Rothschild's Skink,Squamata,Scincidae,CR,18.6711381858043,6.60220139831096,19.7251074096024,6.93483431659594,0.970646704173901,0.0613793462732795,16.7044663051307,0.919,1,1000,direct,Paracontias_rothschildi,False,False,,,
21,65,Paragehyra_gabriellae,,Squamata,Gekkonidae,EN,18.6640181224985,10.6257180737675,37.7254501291233,7.55677290418589,0.493123425572735,0.297731321928574,31.03881134683,1.0,1,1000,direct,Paragehyra_gabriellae,False,False,,,
22,71,Sphenomorphus_sarasinorum,,Squamata,Scincidae,EN,18.2207689091305,9.39155334004353,37.0119378690379,6.41237716262441,0.49999858917851,0.272515589654295,36.70634322732,1.0,1,1000,direct,Sphenomorphus_sarasinorum,False,False,,,
23,570,Cyrtodactylus_nigriocularis,,Squamata,Gekkonidae,CR,17.9664837024755,16.4480709547496,19.3297751849644,17.1509071243723,0.971321892867221,0.0547026785036353,15.6434946230698,0.853,1,1000,direct,Cyrtodactylus_nigriocularis,False,False,,,
24,618,Anolis_cusuco,,Squamata,Anolidae,CR,17.8511190153206,20.9044441848217,18.7304153087433,21.7683669740445,0.97324689764658,0.0550223267156316,17.1951207258057,0.869,1,1000,direct,Anolis_cusuco,False,False,,,
25,685,Cnemaspis_paripari,Fairy Rock Gecko,Squamata,Gekkonidae,CR,17.1584263080365,7.16169060785379,18.034935456053,7.10951480834265,0.97155638866006,0.0546311660065244,15.6150099165023,0.902,1,1000,direct,Cnemaspis_paripari,False,False,,,
26,107,Furcifer_balteatus,Two-banded Chameleon,Squamata,Chamaeleonidae,EN,17.0604593393942,10.0999588034882,34.13121256,8.689883225,0.488579048739054,0.277179343651219,33.7227774455627,0.98,1,1000,direct,Furcifer_balteatus,False,False,,,
27,722,Ceratophora_karu,,Squamata,Agamidae,CR,16.9498166468494,4.06563688475777,17.6942871065271,4.0446053106281,0.970263051973385,0.0607168938901617,15.620624047289,1.0,1,1000,direct,Ceratophora_karu,False,False,,,
30,823,Anolis_eugenegrahami,Eugene's Anole,Squamata,Anolidae,CR,16.058329167569,4.87132801085682,16.8204857227548,4.89161228768633,0.972311063947659,0.0557353536301332,14.3115480140943,0.972,1,1000,direct,Anolis_eugenegrahami,False,False,,,
31,112,Goniurosaurus_zhelongi,Zhe-long’s Leopard Gecko,Squamata,Eublepharidae,EN,15.8772119990775,10.198935894174,33.4925593940271,14.2683767882538,0.493038262970142,0.2878899121558,7.1500562162905,1.0,1,1000,direct,Goniurosaurus_zhelongi,False,False,,,
32,89,Paroedura_masobe,,Squamata,Gekkonidae,EN,15.7948206958359,10.1605768604371,35.5620512402969,8.97511125438285,0.493123425572735,0.297975978309711,29.9082310766061,0.981,1,1000,direct,Paroedura_masobe,False,False,,,
33,119,Archaius_tigris,Tiger Chameleon,Squamata,Chamaeleonidae,EN,15.7753215999771,8.89094039461288,32.39990992682,8.17683023854207,0.485010383861242,0.264039104621399,33.21636900984,1.0,1,1000,direct,Archaius_tigris,False,False,,,
34,882,Capitellum_mariagalantae,Marie-Galante Skink,Squamata,Scincidae,CR,15.505680263791,12.2733068968476,16.2564037838359,12.9708589921305,0.967347203566577,0.0606956220820183,5.6787065870632,0.948,1,1000,direct,Capitellum_mariagalantae,False,False,,,
35,92,Dibamus_tiomanensis,Pulau Tioman Dibamid Lizard,Squamata,Dibamidae,EN,15.4317358394505,13.8500058986166,35.0512214981963,24.0451457796661,0.488820994904156,0.291700761228393,28.5343633993098,0.967,1,1000,direct,Dibamus_tiomanensis,False,False,,,
36,15,Casarea_dussumieri,Keel-scaled Boa,Squamata,Bolyeridae,VU,15.425203176025,5.42868290802235,65.4198232996647,12.7684633917296,0.243763605583379,0.079007164091182,30.2391813690857,1.0,1,1000,direct,Casarea_dussumieri,False,False,,,
37,885,Capitellum_metallicum,Lesser Martinique Skink,Squamata,Scincidae,CR,15.338393224141,12.3844042887306,16.236886760327,12.9073158739805,0.967347203566577,0.0608315154456982,6.01234774630367,0.945,1,1000,direct,Capitellum_metallicum,False,False,,,
38,886,Capitellum_parvicruzae,Lesser Saint Croix Skink,Squamata,Scincidae,CR,15.3082906702847,12.4029224599424,16.2272676606461,12.8722863444632,0.967347203566577,0.0607355700508732,5.76546328724763,0.95,1,1000,direct,Capitellum_parvicruzae,False,False,,,
39,875,Gallotia_stehlini,Gran Canaria Giant Lizard,Squamata,Lacertidae,CR,15.2896761271734,6.07497730404529,16.3319146213874,6.21063235729042,0.969155670035643,0.0658084311630178,15.6061432830926,0.956,1,1000,direct,Gallotia_stehlini,False,False,,,
40,940,Paroedura_lohatsara,,Squamata,Gekkonidae,CR,14.9153606409583,3.25878186996002,15.7613373900563,3.2755527776876,0.971305842804131,0.0620670646999886,15.551889531993,0.984,1,1000,direct,Paroedura_lohatsara,False,False,,,
41,95,Lygodactylus_roavolana,,Squamata,Gekkonidae,EN,14.8033608001456,12.6009399777136,34.8111832344374,19.0532340096925,0.492363623549422,0.297775573795531,27.0089677370478,0.925,1,1000,direct,Lygodactylus_roavolana,False,False,,,
42,987,Bavayia_ornata,Ornate Bavayia,Squamata,Diplodactylidae,CR,14.6910674818806,4.35282577327108,15.3960768006517,4.39771501478633,0.970705811536533,0.0613778794494011,15.103009028877,1.0,1,1000,direct,Bavayia_ornata,False,False,,,
43,994,Lygodactylus_williamsi,Turquoise Dwarf Gecko,Squamata,Gekkonidae,CR,14.5897826227667,4.97296847316216,15.352921892868,5.06452786830709,0.970699206167426,0.0616503336882036,13.9072327204953,0.922,1,1000,direct,Lygodactylus_williamsi,False,False,,,
44,991,Dierogekko_poumensis,Poum Striped Gecko,Squamata,Diplodactylidae,CR,14.491217934929,3.91182587756855,15.3570175177771,3.93487938760294,0.970530677489173,0.0622264152826754,14.955079686324,1.0,1,1000,direct,Dierogekko_poumensis,False,False,,,
45,1033,Brookesia_desperata,,Squamata,Chamaeleonidae,CR,14.4663694096803,4.42502971983923,15.1618185189551,4.5538183162197,0.971028660275833,0.0588313068417075,11.4141800976807,0.987,1,1000,direct,Brookesia_desperata,False,False,,,
46,1083,Cyrtodactylus_chanhomeae,,Squamata,Gekkonidae,CR,13.89812635672,9.46221198150023,14.7475595552319,9.86135663728671,0.971934307329179,0.0567739435678415,12.4601294885307,0.827,1,1000,direct,Cyrtodactylus_chanhomeae,False,False,,,
47,1174,Plestiodon_longirostris,Bermuda Skink,Squamata,Scincidae,CR,13.5780316338571,3.2904170233199,14.2389253367322,3.42603712291019,0.968239704942981,0.0588630283221175,13.7912276264564,0.968,1,1000,direct,Plestiodon_longirostris,False,False,,,
48,192,Anolis_strahmi,Strahm's Anole,Squamata,Anolidae,EN,13.566075533052,7.90812439411067,27.2023039283215,6.42313260797235,0.500246720035104,0.290608044837147,26.609538779509,1.0,1,1000,direct,Anolis_strahmi,False,False,,,
49,21,Ctenoblepharys_adspersa,,Squamata,Liolaemidae,VU,13.4114500219403,4.37467359304443,54.901919455,8.16307349500001,0.245556812923264,0.0764302429586258,55.12042550508,1.0,1,1000,direct,Ctenoblepharys_adspersa,False,False,,,
50,184,Brookesia_minima,,Squamata,Chamaeleonidae,EN,13.1646440545466,7.91962974032629,27.5207301760947,7.29257892849046,0.489683703046073,0.278943498897212,26.5508836144773,0.99,1,1000,direct,Brookesia_minima,False,False,,,
51,212,Oedodera_marmorata,Marbled Gecko,Squamata,Diplodactylidae,EN,12.8663924565887,7.27625866070976,26.39533109,6.50383475500053,0.488276072919399,0.294298235145498,26.27889704349,1.0,1,1000,direct,Oedodera_marmorata,False,False,,,
52,209,Brookesia_ramanantsoai,,Squamata,Chamaeleonidae,EN,12.8431750610661,7.32735014155975,26.4410775386688,7.02223153665495,0.489254562913954,0.279529245494811,24.9356145285463,0.993,1,1000,direct,Brookesia_ramanantsoai,False,False,,,
53,201,Xenosaurus_newmanorum,,Squamata,Xenosauridae,EN,12.8374978674761,16.8580571714581,26.7886619681642,31.9979553122261,0.483260189679077,0.262317520567567,26.7937103081357,0.953,1,1000,direct,Xenosaurus_newmanorum,False,False,,,
54,217,Uroplatus_pietschmanni,,Squamata,Gekkonidae,EN,12.790004539238,7.52137134569597,26.1808972164598,6.41463936683602,0.496330449383259,0.301125527406544,24.77298215189,1.0,1,1000,direct,Uroplatus_pietschmanni,False,False,,,
55,1335,Rhampholeon_acuminatus,Nguru Spiny Pygmy Chameleon,Squamata,Chamaeleonidae,CR,12.6012917840299,3.95925395352557,13.3328690212945,4.20473794583945,0.971028660275833,0.0564192400697241,12.0566958174701,0.967,1,1000,direct,Rhampholeon_acuminatus,False,False,,,
56,1358,Panopa_croizati,Horton's Mabuya,Squamata,Scincidae,CR,12.4551495069117,3.43190058538868,13.2203509631016,3.68124537464476,0.968160572821104,0.0604781603693011,12.937053406064,1.0,1,1000,direct,Panopa_croizati,False,False,,,
58,1398,Lygodactylus_mirabilis,,Squamata,Gekkonidae,CR,12.4215534615663,5.23558908243061,13.024621087398,5.49659750877079,0.971877093609051,0.0611266332386207,12.1409559261505,0.905,1,1000,direct,Lygodactylus_mirabilis,False,False,,,
