tree,PD,ePDloss
1,133241.014472678,14824.4526586979
2,121243.294083308,13275.6833287202
3,121754.102420146,13365.8354223361
4,127727.563211744,14166.2281710954
5,128283.644923141,14045.5600943144
6,126193.768630359,13857.7390904441
7,125535.868207231,13757.7201744921
8,126953.510371121,13798.8762581496
9,129581.983716958,13859.8125761124
10,128532.877112071,14262.5668862155
11,128840.724174466,13753.0388384154
12,124858.987921747,13774.1380736917
13,127222.255955087,13436.1601656508
14,123145.873722178,13157.0663398507
15,123267.06500356,13393.0962860102
16,125117.715142444,13639.3737886462
17,124133.831558573,13532.5016791663
18,124703.522938001,13362.777973851
19,123459.432261218,14072.0363590311
20,135524.118046973,14943.2022790384
21,132735.67466603,14521.7947656413
22,134183.565594869,14500.2482421456
23,133099.347269299,14201.2534464214
24,127504.750541601,13632.1743943514
25,124366.958388321,13523.3897454931
26,126462.169339015,14242.4632990345
27,122101.911077612,13195.781914984
28,123364.266058524,13285.4421023562
29,122660.440434057,13472.167760622
30,123608.765388967,13259.8817559603
31,123785.898014912,13376.3153066625
32,126254.086965627,13994.5531621431
33,124844.087925476,13658.0079595267
34,123760.86088958,13437.5669233835
35,122787.363981992,13514.8959184244
36,121035.405967147,13044.4063169015
37,122776.031349632,13412.8505461004
38,124440.341485473,13457.8462749154
39,123888.056374821,13678.4636104349
40,121526.535404224,13181.7095478128
41,126462.980886615,13790.746357459
42,127620.00852583,14268.4784227155
43,127171.819448548,14005.7655947503
44,124290.324404419,13778.2051924803
45,126117.773089936,13716.5672652962
46,130474.26313513,14034.0316265155
47,132465.70375649,14630.7300413466
48,129346.785520739,14465.8454913913
49,127975.426530414,13825.1179697754
50,127482.642117137,14200.5841717265
51,133198.666701859,14916.1247130651
52,123230.895867338,13416.3755485631
53,124355.390748839,13829.5036066615
54,124294.509200794,13603.1581060019
55,125261.695699682,13275.7259887932
56,126591.799618267,13724.1284720152
57,126717.867401639,14080.1156195767
58,129324.579959485,14352.1404135819
59,125824.23747861,13623.9009818456
60,127076.267602505,13783.8918801625
61,123924.803538164,13739.7448585582
62,126527.265260257,14005.0632305647
63,127252.863546896,13983.450124485
64,133483.267701411,14517.0284577391
65,128819.317790461,14343.3085293728
66,128759.386786272,14045.3918349341
67,127481.821311273,14060.6874558902
68,122740.863027623,13394.6046579278
69,124655.513014776,13441.0979671069
70,122294.695454644,13174.1186543941
71,123526.124067724,13532.8008712456
72,123973.001465672,13690.9412696971
73,126130.543449099,13770.5527185588
74,126867.339130406,14135.3470697301
75,126718.804450689,13575.7810940043
76,128733.691385317,14036.0672033823
77,129172.690444662,14120.5266309663
78,128576.708650713,13972.191961911
79,127145.783103076,13748.721543568
80,128694.283937538,14319.2095418429
81,126892.913391227,14110.7235366407
82,133395.837532702,14847.0807002691
83,133022.847793134,14770.1254270454
84,126443.920499514,14126.5483449497
85,126020.628821696,13921.1485202122
86,125877.593888563,13937.3774343127
87,126389.430318768,13811.8199767021
88,125982.404945767,13492.8014571335
89,126985.734105762,13756.4230080256
90,125124.661961245,13759.3178951278
91,133842.130256949,14832.7785150164
92,128536.571354265,14036.9182912901
93,126640.52341223,13944.4919837523
94,125155.706208868,14200.5238091635
95,125640.328649964,13819.7278580004
96,138600.637957296,14901.6607607456
97,126699.392830298,14080.6893716369
98,126861.919704236,13965.1814357103
