family,n_species,n_EDGE,median_EDGE2,n_vgp_genome,n_EDGE_with_genome,pct_EDGE
Scincidae,1576,144,0.46620811885925,1,0.0,9.137055837563452
Gekkonidae,1027,136,0.805614827286612,0,0.0,13.242453748782863
Anolidae,395,81,0.801598532602449,1,0.0,20.50632911392405
Chamaeleonidae,200,61,1.0068385838595102,3,0.0,30.5
Sphaerodactylidae,209,53,1.08362526095219,1,0.0,25.358851674641148
Agamidae,446,37,0.46381170852881903,0,0.0,8.295964125560538
Diplodactylidae,129,32,0.826574811390662,0,0.0,24.8062015503876
Lacertidae,322,21,0.610396191376961,15,1.0,6.521739130434782
Amphisbaenidae,171,20,0.44651849316574,0,0.0,11.695906432748538
Uropeltidae,54,19,1.241366066593925,0,0.0,35.18518518518518
Viperidae,329,17,0.433900958326118,4,0.0,5.167173252279635
Pseudoxyrhophiidae,91,17,0.886485815812348,0,0.0,18.681318681318682
Diploglossidae,51,16,1.02055209606815,0,0.0,31.372549019607842
Tropiduridae,154,16,0.49755319172497453,0,0.0,10.38961038961039
Tropidophiidae,32,16,2.164671623201655,0,0.0,50.0
Anguidae,72,16,0.8018118053486295,1,0.0,22.22222222222222
Eublepharidae,33,14,1.91635191362279,1,0.0,42.42424242424242
Teiidae,146,13,0.3951039028015255,1,0.0,8.904109589041095
Phyllodactylidae,129,13,0.641985032887959,0,0.0,10.077519379844961
Gymnophthalmidae,225,11,0.563120326242927,0,0.0,4.888888888888889
Natricidae,223,10,0.314076639871738,2,0.0,4.484304932735426
Typhlopidae,261,10,0.526219875930468,1,0.0,3.8314176245210727
Iguanidae,42,9,0.6383793529529176,1,1.0,21.428571428571427
Leptotyphlopidae,118,7,0.431976705100138,0,0.0,5.932203389830509
Colubridae,722,7,0.214145918837284,0,0.0,0.9695290858725761
Leiosauridae,30,6,0.5793953637108684,0,0.0,20.0
Dipsadidae,748,6,0.174251798374559,1,0.0,0.8021390374331551
Elapidae,353,6,0.224145026969725,0,0.0,1.6997167138810199
Carphodactylidae,30,5,0.620097173272241,0,0.0,16.666666666666668
Gerrhosauridae,37,5,0.64415048039443,0,0.0,13.513513513513514
Dibamidae,23,4,4.59170095018399,1,0.0,17.391304347826086
