order,n_species_in_tree,median_EDGE2,n_EDGE_species,pct_EDGE
Primates,422,0.4673909069237695,141,33.4
Rodentia,2359,0.130375568872419,106,4.5
Chiroptera,1233,0.158729475698995,80,6.5
Artiodactyla,340,0.19629910900304098,55,16.2
Diprotodontia,145,0.400501561610372,42,29.0
Eulipotyphla,490,0.1774770147786745,38,7.8
Carnivora,279,0.143535322521903,36,12.9
Afrosoricida,55,0.426782127387143,17,30.9
Dasyuromorphia,76,0.3773100269742305,12,15.8
Perissodactyla,18,0.8306453739277085,11,61.1
Lagomorpha,91,0.129280287556926,8,8.8
Pholidota,7,10.3805169266787,7,100.0
Didelphimorphia,103,0.271347889792446,6,5.8
Peramelemorphia,22,0.416868867377398,6,27.3
Sirenia,5,0.631083197359329,4,80.0
Monotremata,5,4.1411987991204,3,60.0
Paucituberculata,7,0.761642718566686,3,42.9
Pilosa,10,0.3584658944142965,3,30.0
Scandentia,20,0.2540240309602835,2,10.0
Proboscidea,2,1.6326415457673567,2,100.0
Macroscelidea,18,0.4442329508478815,2,11.1
Cingulata,20,0.3446713709225535,2,10.0
Microbiotheria,1,7.16017635067581,0,0.0
Notoryctemorphia,2,0.427247688441143,0,0.0
Hyracoidea,5,0.269679294709329,0,0.0
Dermoptera,2,0.6026336836013184,0,0.0
Tubulidentata,1,3.9136020424357,0,0.0
