vgp_name,vgp_name_corrected,vgp_english_name,vgp_lineage,vgp_sheet,vgp_accession,clade,placement_tier,tree_tip,credit_genome_to_tip,evidence
Bubalus_bubalis,Bubalus_bubalis,water buffalo,Mammals,Phase1+,GCA_019923935.1,mammals,domestic_form_of_tip,Bubalus_arnee,False,MDD: domestic form of B. arnee; has been suggested to represent two species based on molecular data (buablis for River Buffalo and kerabau/carabanensis for Swamp Buf
Equus_asinus,Equus_asinus,donkey,Mammals,Phase1+,GCA_041296235.2,mammals,domestic_form_of_tip,Equus_africanus,False,MDD: domestic form of E. africanus
Ambystoma_mexicanum,Ambystoma_mexicanum,axolotl,Amphibians,Phase1+,GCA_040938575.1,amphibians,exact,Ambystoma_mexicanum,True,VGP name identical to tip
Ambystoma_tigrinum,Ambystoma_tigrinum,tiger salamander,Amphibians,Phase1+,GCA_061212105.1,amphibians,exact,Ambystoma_tigrinum,True,VGP name identical to tip
Anomaloglossus_baeobatrachus,Anomaloglossus_baeobatrachus,Edward's Rocket Frog,Amphibians,Phase1+,GCA_048569485.1,amphibians,exact,Anomaloglossus_baeobatrachus,True,VGP name identical to tip
Ascaphus_truei,Ascaphus_truei,coastal tailed frog,Amphibians,Phase1+,GCA_040206685.1,amphibians,exact,Ascaphus_truei,True,VGP name identical to tip
Bombina_bombina,Bombina_bombina,European fire-bellied toad,Amphibians,Phase1+,GCA_027579735.1,amphibians,exact,Bombina_bombina,True,VGP name identical to tip
Bombina_variegata,Bombina_variegata,,,Families,GCA_964205295.1,amphibians,exact,Bombina_variegata,True,VGP name identical to tip
Bufo_bufo,Bufo_bufo,,,Families,GCA_905171765.1,amphibians,exact,Bufo_bufo,True,VGP name identical to tip
Cryptobranchus_alleganiensis,Cryptobranchus_alleganiensis,hellbender salamander,Amphibians,Phase1+,GCA_060551615.1,amphibians,exact,Cryptobranchus_alleganiensis,True,VGP name identical to tip
Dendrobates_auratus,Dendrobates_auratus,green-and-black poison dart frog,Amphibians,Phase1+,,amphibians,exact,Dendrobates_auratus,False,VGP name identical to tip
Dendropsophus_ebraccatus,Dendropsophus_ebraccatus,,,Families,GCA_027789765.1,amphibians,exact,Dendropsophus_ebraccatus,True,VGP name identical to tip
Discoglossus_pictus,Discoglossus_pictus,painted frog,Amphibians,Phase1+,GCA_027410445.1,amphibians,exact,Discoglossus_pictus,True,VGP name identical to tip
Eleutherodactylus_coqui,Eleutherodactylus_coqui,,,Families,GCA_035609145.1,amphibians,exact,Eleutherodactylus_coqui,True,VGP name identical to tip
Eleutherodactylus_marnockii,Eleutherodactylus_marnockii,cliff chirping frog,Amphibians,Phase1+,GCA_055470875.1,amphibians,exact,Eleutherodactylus_marnockii,True,VGP name identical to tip
Engystomops_pustulosus,Engystomops_pustulosus,tungara frog,Amphibians,Phase1+,GCA_040894005.1,amphibians,exact,Engystomops_pustulosus,True,VGP name identical to tip
Epidalea_calamita,Epidalea_calamita,natterjack toad,Amphibians,Phase1+,GCA_978041865.1,amphibians,exact,Epidalea_calamita,True,VGP name identical to tip
Fejervarya_limnocharis,Fejervarya_limnocharis,Asian grass frog,Amphibians,Phase1+,GCA_054083975.1,amphibians,exact,Fejervarya_limnocharis,True,VGP name identical to tip
Gastrophryne_carolinensis,Gastrophryne_carolinensis,Eastern narrow-mouthed toad,Amphibians,Phase1+,GCA_027917425.1,amphibians,exact,Gastrophryne_carolinensis,True,VGP name identical to tip
Geotrypetes_seraphini,Geotrypetes_seraphini,,,Families,GCA_902459505.2,amphibians,exact,Geotrypetes_seraphini,True,VGP name identical to tip
Hyla_sarda,Hyla_sarda,,,Families,GCA_029499605.1,amphibians,exact,Hyla_sarda,True,VGP name identical to tip
Hyperolius_riggenbachi,Hyperolius_riggenbachi,,,Families,GCA_040937935.1,amphibians,exact,Hyperolius_riggenbachi,True,VGP name identical to tip
Leptobrachium_boringii,Leptobrachium_boringii,Emei moustache toad,Amphibians,Phase1+,GCA_054131545.1,amphibians,exact,Leptobrachium_boringii,True,VGP name identical to tip
Leptodactylus_fuscus,Leptodactylus_fuscus,,,Families,GCA_031893055.1,amphibians,exact,Leptodactylus_fuscus,True,VGP name identical to tip
Lissotriton_helveticus,Lissotriton_helveticus,,,Families,GCA_964261635.1,amphibians,exact,Lissotriton_helveticus,True,VGP name identical to tip
Lissotriton_vulgaris,Lissotriton_vulgaris,,,Families,GCA_964263255.1,amphibians,exact,Lissotriton_vulgaris,True,VGP name identical to tip
Mantella_aurantiaca,Mantella_aurantiaca,,,Families,GCA_048565345.1,amphibians,exact,Mantella_aurantiaca,True,VGP name identical to tip
Megophrys_montana,Megophrys_montana,Javan horned frog,Amphibians,Phase1+,GCA_060175755.1,amphibians,exact,Megophrys_montana,True,VGP name identical to tip
Microcaecilia_unicolor,Microcaecilia_unicolor,tiny cayenne caecilian,Amphibians,Phase1+,GCA_901765095.2,amphibians,exact,Microcaecilia_unicolor,True,VGP name identical to tip
Mixophyes_fleayi,Mixophyes_fleayi,,,Families,GCA_038048845.1,amphibians,exact,Mixophyes_fleayi,True,VGP name identical to tip
Necturus_punctatus,Necturus_punctatus,dwarf waterdog,Amphibians,Phase1+,,amphibians,exact,Necturus_punctatus,False,VGP name identical to tip
Parvimolge_townsendi,Parvimolge_townsendi,Townsend's dwarf salamander,Amphibians,Phase1+,,amphibians,exact,Parvimolge_townsendi,False,VGP name identical to tip
Pelobates_fuscus,Pelobates_fuscus,,,Families,GCA_036172605.1,amphibians,exact,Pelobates_fuscus,True,VGP name identical to tip
Pelodytes_ibericus,Pelodytes_ibericus,,,Families,GCA_036172795.1,amphibians,exact,Pelodytes_ibericus,True,VGP name identical to tip
Pelophylax_lessonae,Pelophylax_lessonae,,,Families,GCA_965119305.1,amphibians,exact,Pelophylax_lessonae,True,VGP name identical to tip
Pleurodeles_waltl,Pleurodeles_waltl,,,Families,GCA_026652325.1,amphibians,exact,Pleurodeles_waltl,True,VGP name identical to tip
Pseudacris_triseriata,Pseudacris_triseriata,Western chorus frog,Amphibians,Phase1+,GCA_053478255.2,amphibians,exact,Pseudacris_triseriata,True,VGP name identical to tip
Pseudophryne_corroboree,Pseudophryne_corroboree,Southern corroboree frog,Amphibians,Phase1+,GCA_028390025.1,amphibians,exact,Pseudophryne_corroboree,True,VGP name identical to tip
Rana_temporaria,Rana_temporaria,,,Families,GCA_905171775.1,amphibians,exact,Rana_temporaria,True,VGP name identical to tip
Ranitomeya_imitator,Ranitomeya_imitator,mimic poison frog,Amphibians,Phase1+,GCA_032444005.1,amphibians,exact,Ranitomeya_imitator,True,VGP name identical to tip
Ranitomeya_variabilis,Ranitomeya_variabilis,Zimmermann's poison frog,Amphibians,Phase1+,GCA_051348905.1,amphibians,exact,Ranitomeya_variabilis,True,VGP name identical to tip
Rhinatrema_bivittatum,Rhinatrema_bivittatum,,,Families,GCA_901001135.2,amphibians,exact,Rhinatrema_bivittatum,True,VGP name identical to tip
Rhinoderma_darwinii,Rhinoderma_darwinii,Darwin's frog,Amphibians,Phase1+,GCA_050947455.1,amphibians,exact,Rhinoderma_darwinii,True,VGP name identical to tip
Rhinophrynus_dorsalis,Rhinophrynus_dorsalis,Mexican burrowing toad,Amphibians,Phase1+,GCA_037306005.1,amphibians,exact,Rhinophrynus_dorsalis,True,VGP name identical to tip
Scaphiopus_couchii,Scaphiopus_couchii,Couch's spadefoot toad,Amphibians,Phase1+,GCA_054954225.1,amphibians,exact,Scaphiopus_couchii,True,VGP name identical to tip
Scutiger_boulengeri,Scutiger_boulengeri,,,Families,,amphibians,exact,Scutiger_boulengeri,False,VGP name identical to tip
Siren_intermedia,Siren_intermedia,lesser siren,Amphibians,Phase1+,,amphibians,exact,Siren_intermedia,False,VGP name identical to tip
Sooglossus_thomasseti,Sooglossus_thomasseti,Thomasset's Seychelles frog,Amphibians,Phase1+,,amphibians,exact,Sooglossus_thomasseti,False,VGP name identical to tip
Spea_bombifrons,Spea_bombifrons,plain spadefoot toad,Amphibians,Phase1+,GCA_027358695.2,amphibians,exact,Spea_bombifrons,True,VGP name identical to tip
Spea_multiplicata,Spea_multiplicata,Mexican spadefoot toad,Amphibians,Phase1+,GCA_054668525.1,amphibians,exact,Spea_multiplicata,True,VGP name identical to tip
Telmatobufo_venustus,Telmatobufo_venustus,Chile Mountains false toad,Amphibians,Phase1+,GCA_060712405.1,amphibians,exact,Telmatobufo_venustus,True,VGP name identical to tip
Thorius_spilogaster,Thorius_spilogaster,spotted minute salamander,Amphibians,Phase1+,GCA_060511645.1,amphibians,exact,Thorius_spilogaster,True,VGP name identical to tip
Triturus_cristatus,Triturus_cristatus,warty newt,Amphibians,Phase1+,GCA_964204655.1,amphibians,exact,Triturus_cristatus,True,VGP name identical to tip
Xenopus_petersii,Xenopus_petersii,,,Families,GCA_038501925.1,amphibians,exact,Xenopus_petersii,True,VGP name identical to tip
Acanthisitta_chloris,Acanthisitta_chloris,,,Families,GCA_016904835.1,birds,exact,Acanthisitta_chloris,True,VGP name identical to tip
Accipiter_gentilis,Accipiter_gentilis,,,Families,GCA_929443795.1,birds,exact,Accipiter_gentilis,True,VGP name identical to tip
Accipiter_nisus,Accipiter_nisus,Eurasian sparrowhawk,Birds,Phase1+,GCA_978019825.1,birds,exact,Accipiter_nisus,True,VGP name identical to tip
Acridotheres_tristis,Acridotheres_tristis,,,Families,GCA_027559615.1,birds,exact,Acridotheres_tristis,True,VGP name identical to tip
Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,sedge warbler,Birds,Phase1+,GCA_987194645.1,birds,exact,Acrocephalus_schoenobaenus,True,VGP name identical to tip
Aechmophorus_clarkii,Aechmophorus_clarkii,Clark’s grebe,Birds,Phase1+,GCA_054644155.1,birds,exact,Aechmophorus_clarkii,True,VGP name identical to tip
Aegithalos_caudatus,Aegithalos_caudatus,Northern long-tailed tit,Birds,Phase1+,GCA_977066295.1,birds,exact,Aegithalos_caudatus,True,VGP name identical to tip
Aegotheles_albertisi,Aegotheles_albertisi,mountain owlet-nightjar,Birds,Phase1+,GCA_039906565.1,birds,exact,Aegotheles_albertisi,True,VGP name identical to tip
Agelaius_phoeniceus,Agelaius_phoeniceus,red-winged blackbird,Birds,Phase1+,GCA_051311805.1,birds,exact,Agelaius_phoeniceus,True,VGP name identical to tip
Alauda_arvensis,Alauda_arvensis,Eurasian skylark,Birds,Phase1+,GCA_987194035.1,birds,exact,Alauda_arvensis,True,VGP name identical to tip
Alca_torda,Alca_torda,razorbill,Birds,Phase1+,GCA_008658365.1,birds,exact,Alca_torda,True,VGP name identical to tip
Alcedo_atthis,Alcedo_atthis,common kingfisher,Birds,Phase1+,GCA_987195655.1,birds,exact,Alcedo_atthis,True,VGP name identical to tip
Alectoris_rufa,Alectoris_rufa,red-legged partridge,Birds,Phase1+,GCA_987193675.1,birds,exact,Alectoris_rufa,True,VGP name identical to tip
Alopochen_aegyptiaca,Alopochen_aegyptiaca,,,Families,GCA_965278175.1,birds,exact,Alopochen_aegyptiaca,True,VGP name identical to tip
Amazona_ochrocephala,Amazona_ochrocephala,,,Families,GCA_039720435.1,birds,exact,Amazona_ochrocephala,True,VGP name identical to tip
Ammodramus_caudacutus,Ammodramus_caudacutus,saltmarsh sparrow,Birds,Phase1+,GCA_027887145.1,birds,exact,Ammodramus_caudacutus,True,VGP name identical to tip
Anas_acuta,Anas_acuta,northern pintail,Birds,Phase1+,GCA_963932015.1,birds,exact,Anas_acuta,True,VGP name identical to tip
Anas_platyrhynchos,Anas_platyrhynchos,mallard,Birds,Phase1+,GCA_964188345.1,birds,exact,Anas_platyrhynchos,True,VGP name identical to tip
Anodorhynchus_hyacinthinus,Anodorhynchus_hyacinthinus,hyacinth macaw,Birds,Phase1+,,birds,exact,Anodorhynchus_hyacinthinus,False,VGP name identical to tip
